result_id,student_id,course_id,teacher_id,marks_obtained,total_marks,percentage,grade,status,semester,exam_type,remarks,created_at
R0000053,S001384,C00004,T00237,13.0,50.0,26.0,F,Fail,2,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000054,S000082,C00108,T00050,72.0,100.0,72.0,C+,Pass,5,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000055,S000564,C00133,T00103,21.0,50.0,42.0,F,Fail,2,Final,Average Performance,2026-08-08 12:42:34.518
R0000056,S000238,C00091,T00201,44.0,50.0,88.0,A,Pass,5,Quiz,,2026-08-08 12:42:34.518
R0000057,S001957,C00080,T00062,47.0,100.0,47.0,F,Fail,7,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000058,S000967,C00054,T00130,15.0,50.0,30.0,F,Fail,6,Mid,,2026-08-08 12:42:34.518
R0000059,S000671,C00033,T00139,48.0,50.0,96.0,A+,Pass,8,Mid,Excellent,2026-08-08 12:42:34.518
R0000060,S000493,C00086,T00172,12.0,50.0,24.0,F,Fail,7,Quiz,Average Performance,2026-08-08 12:42:34.518
R0000061,S001428,C00099,T00092,13.0,30.0,43.33,F,Fail,3,Quiz,Excellent,2026-08-08 12:42:34.518
R0000062,S001275,C00009,T00037,70.0,100.0,70.0,C+,Pass,7,Assignment,,2026-08-08 12:42:34.518
R0000063,S000590,C00068,T00067,13.0,50.0,26.0,F,Fail,5,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000064,S000226,C00091,T00201,17.0,30.0,56.67,D,Pass,5,Quiz,Average Performance,2026-08-08 12:42:34.518
R0000065,S001787,C00111,T00184,28.0,50.0,56.0,D,Pass,2,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000066,S001838,C00020,T00034,29.0,100.0,29.0,F,Fail,4,Quiz,,2026-08-08 12:42:34.518
R0000067,S001253,C00142,T00030,22.0,30.0,73.33,C+,Pass,3,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000068,S000976,C00024,T00043,93.0,100.0,93.0,A+,Pass,7,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000069,S001420,C00099,T00092,18.0,30.0,60.0,C,Pass,3,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000070,S001542,C00073,T00061,71.0,100.0,71.0,C+,Pass,3,Mid,Average Performance,2026-08-08 12:42:34.518
R0000071,S001942,C00039,T00020,69.0,100.0,69.0,C,Pass,3,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000072,S001876,C00013,T00291,88.0,100.0,88.0,A,Pass,6,Mid,,2026-08-08 12:42:34.518
R0000073,S000468,C00020,T00034,13.0,30.0,43.33,F,Fail,4,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000074,S000486,C00131,T00111,15.0,50.0,30.0,F,Fail,5,Quiz,Needs Improvement,2026-08-08 12:42:34.518
R0000075,S000739,C00056,T00017,5.0,20.0,25.0,F,Fail,8,Assignment,,2026-08-08 12:42:34.518
R0000076,S001466,C00085,T00080,47.0,100.0,47.0,F,Fail,6,Final,Average Performance,2026-08-08 12:42:34.518
R0000077,S001217,C00099,T00092,8.0,20.0,40.0,F,Fail,3,Assignment,Excellent,2026-08-08 12:42:34.518
R0000078,S001642,C00053,T00070,21.0,50.0,42.0,F,Fail,3,Final,,2026-08-08 12:42:34.518
R0000079,S001576,C00001,T00296,38.0,50.0,76.0,B,Pass,8,Quiz,Needs Improvement,2026-08-08 12:42:34.518
R0000080,S000026,C00093,T00224,29.0,50.0,58.0,D,Pass,3,Mid,Excellent,2026-08-08 12:42:34.518
R0000081,S001044,C00044,T00201,63.0,100.0,63.0,C,Pass,4,Quiz,,2026-08-08 12:42:34.518
R0000082,S001797,C00025,T00004,49.0,100.0,49.0,F,Fail,6,Final,Average Performance,2026-08-08 12:42:34.518
R0000083,S001251,C00098,T00297,27.0,30.0,90.0,A+,Pass,7,Quiz,Excellent,2026-08-08 12:42:34.518
R0000084,S000172,C00054,T00130,29.0,30.0,96.67,A+,Pass,6,Quiz,,2026-08-08 12:42:34.518
R0000085,S001683,C00089,T00208,19.0,30.0,63.33,C,Pass,4,Quiz,,2026-08-08 12:42:34.518
R0000086,S000920,C00010,T00168,14.0,50.0,28.0,F,Fail,3,Quiz,Needs Improvement,2026-08-08 12:42:34.518
R0000087,S001690,C00089,T00208,30.0,30.0,100.0,A+,Pass,4,Quiz,Excellent,2026-08-08 12:42:34.518
R0000088,S001900,C00086,T00172,29.0,30.0,96.67,A+,Pass,7,Quiz,Average Performance,2026-08-08 12:42:34.518
R0000089,S001593,C00084,T00069,20.0,20.0,100.0,A+,Pass,5,Assignment,,2026-08-08 12:42:34.518
R0000090,S001086,C00027,T00286,48.0,50.0,96.0,A+,Pass,2,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000091,S001065,C00128,T00197,6.0,20.0,30.0,F,Fail,6,Mid,Excellent,2026-08-08 12:42:34.518
R0000092,S000153,C00066,T00044,7.0,30.0,23.33,F,Fail,4,Assignment,Excellent,2026-08-08 12:42:34.518
R0000093,S000281,C00036,T00160,16.0,20.0,80.0,B+,Pass,6,Mid,Needs Improvement,2026-08-08 12:42:34.518
R0000094,S001817,C00131,T00111,16.0,20.0,80.0,B+,Pass,5,Quiz,Excellent,2026-08-08 12:42:34.518
R0000095,S000082,C00011,T00133,20.0,30.0,66.67,C,Pass,5,Quiz,Average Performance,2026-08-08 12:42:34.518
R0000096,S000892,C00145,T00022,28.0,50.0,56.0,D,Pass,3,Assignment,,2026-08-08 12:42:34.518
R0000097,S001225,C00096,T00167,18.0,20.0,90.0,A+,Pass,5,Quiz,Excellent,2026-08-08 12:42:34.518
R0000098,S001089,C00019,T00128,26.0,30.0,86.67,A,Pass,6,Quiz,Needs Improvement,2026-08-08 12:42:34.518
R0000099,S000911,C00076,T00019,6.0,20.0,30.0,F,Fail,5,Quiz,Excellent,2026-08-08 12:42:34.518
R0000100,S001444,C00032,T00030,17.0,50.0,34.0,F,Fail,8,Quiz,,2026-08-08 12:42:34.519
R0000101,S000223,C00116,T00080,19.0,20.0,95.0,A+,Pass,6,Final,,2026-08-08 12:42:34.519
R0000102,S001802,C00007,T00014,17.0,20.0,85.0,A,Pass,8,Assignment,Needs Improvement,2026-08-08 12:42:34.519
R0000103,S001944,C00089,T00208,8.0,20.0,40.0,F,Fail,4,Assignment,Excellent,2026-08-08 12:42:34.519
R0000104,S001251,C00038,T00086,45.0,50.0,90.0,A+,Pass,7,Quiz,Excellent,2026-08-08 12:42:34.519
R0000105,S000108,C00058,T00187,97.0,100.0,97.0,A+,Pass,4,Assignment,Average Performance,2026-08-08 12:42:34.519
R0000106,S001858,C00027,T00286,9.0,20.0,45.0,F,Fail,2,Mid,Needs Improvement,2026-08-08 12:42:34.519
R0000107,S001541,C00033,T00139,18.0,50.0,36.0,F,Fail,8,Assignment,Needs Improvement,2026-08-08 12:42:34.519
R0000108,S000843,C00147,T00037,40.0,50.0,80.0,B+,Pass,2,Quiz,Excellent,2026-08-08 12:42:34.519
R0000109,S001267,C00145,T00022,50.0,100.0,50.0,D,Pass,3,Quiz,Needs Improvement,2026-08-08 12:42:34.519
R0000110,S001392,C00002,T00001,76.0,100.0,76.0,B,Pass,7,Assignment,Excellent,2026-08-08 12:42:34.519
R0000111,S001634,C00022,T00119,22.0,30.0,73.33,C+,Pass,7,Final,,2026-08-08 12:42:34.519
R0000112,S001645,C00049,T00076,23.0,50.0,46.0,F,Fail,7,Quiz,Excellent,2026-08-08 12:42:34.519
R0000113,S001974,C00111,T00184,25.0,30.0,83.33,B+,Pass,2,Quiz,,2026-08-08 12:42:34.519
R0000114,S000101,C00084,T00069,47.0,50.0,94.0,A+,Pass,5,Quiz,,2026-08-08 12:42:34.519
R0000115,S000762,C00031,T00063,24.0,50.0,48.0,F,Fail,7,Quiz,Average Performance,2026-08-08 12:42:34.519
R0000116,S001107,C00077,T00274,10.0,20.0,50.0,D,Pass,1,Quiz,Needs Improvement,2026-08-08 12:42:34.519
R0000117,S000536,C00127,T00246,31.0,100.0,31.0,F,Fail,1,Quiz,Needs Improvement,2026-08-08 12:42:34.519
R0000118,S000374,C00075,T00234,73.0,100.0,73.0,C+,Pass,5,Mid,,2026-08-08 12:42:34.519
R0000119,S001531,C00074,T00234,49.0,50.0,98.0,A+,Pass,3,Quiz,,2026-08-08 12:42:34.519
R0000120,S001318,C00094,T00060,25.0,30.0,83.33,B+,Pass,4,Final,Excellent,2026-08-08 12:42:34.519
R0000121,S000562,C00142,T00030,10.0,20.0,50.0,D,Pass,3,Mid,Needs Improvement,2026-08-08 12:42:34.519
R0000122,S000735,C00069,T00017,15.0,20.0,75.0,B,Pass,1,Final,Needs Improvement,2026-08-08 12:42:34.519
R0000123,S000898,C00111,T00184,25.0,50.0,50.0,D,Pass,2,Assignment,Needs Improvement,2026-08-08 12:42:34.519
R0000124,S000270,C00107,T00060,82.0,100.0,82.0,B+,Pass,1,Mid,Average Performance,2026-08-08 12:42:34.519
R0000125,S000389,C00092,T00062,16.0,30.0,53.33,D,Pass,2,Final,Excellent,2026-08-08 12:42:34.519
R0000126,S000701,C00098,T00297,76.0,100.0,76.0,B,Pass,7,Final,Excellent,2026-08-08 12:42:34.519
R0000127,S001151,C00116,T00080,38.0,50.0,76.0,B,Pass,6,Quiz,Excellent,2026-08-08 12:42:34.519
R0000128,S001798,C00062,T00147,11.0,20.0,55.0,D,Pass,5,Quiz,Average Performance,2026-08-08 12:42:34.519
R0000129,S001531,C00110,T00249,44.0,100.0,44.0,F,Fail,3,Mid,,2026-08-08 12:42:34.519
R0000130,S000489,C00051,T00175,13.0,50.0,26.0,F,Fail,1,Final,Average Performance,2026-08-08 12:42:34.519
R0000131,S000272,C00106,T00128,11.0,20.0,55.0,D,Pass,2,Mid,Excellent,2026-08-08 12:42:34.519
R0000132,S000757,C00116,T00080,96.0,100.0,96.0,A+,Pass,6,Assignment,Excellent,2026-08-08 12:42:34.519
R0000133,S000766,C00146,T00238,21.0,50.0,42.0,F,Fail,8,Quiz,Excellent,2026-08-08 12:42:34.519
R0000134,S001507,C00129,T00031,83.0,100.0,83.0,B+,Pass,1,Quiz,,2026-08-08 12:42:34.519
R0000135,S001325,C00094,T00060,51.0,100.0,51.0,D,Pass,4,Quiz,Excellent,2026-08-08 12:42:34.519
R0000136,S000725,C00129,T00031,22.0,50.0,44.0,F,Fail,1,Mid,Excellent,2026-08-08 12:42:34.519
R0000137,S001829,C00045,T00172,38.0,50.0,76.0,B,Pass,2,Final,,2026-08-08 12:42:34.519
R0000138,S000700,C00109,T00065,50.0,100.0,50.0,D,Pass,5,Quiz,Needs Improvement,2026-08-08 12:42:34.519
R0000139,S000789,C00045,T00172,42.0,50.0,84.0,B+,Pass,2,Mid,,2026-08-08 12:42:34.519
R0000140,S001881,C00075,T00234,92.0,100.0,92.0,A+,Pass,5,Final,,2026-08-08 12:42:34.519
R0000141,S000664,C00034,T00188,87.0,100.0,87.0,A,Pass,2,Final,Excellent,2026-08-08 12:42:34.519
R0000142,S000730,C00054,T00130,22.0,30.0,73.33,C+,Pass,6,Mid,,2026-08-08 12:42:34.519
R0000143,S001199,C00034,T00188,18.0,20.0,90.0,A+,Pass,2,Assignment,Excellent,2026-08-08 12:42:34.519
R0000144,S000973,C00145,T00022,29.0,50.0,58.0,D,Pass,3,Assignment,Excellent,2026-08-08 12:42:34.519
R0000145,S000480,C00040,T00240,5.0,20.0,25.0,F,Fail,8,Assignment,Excellent,2026-08-08 12:42:34.519
R0000146,S000043,C00079,T00251,30.0,30.0,100.0,A+,Pass,4,Mid,,2026-08-08 12:42:34.519
R0000147,S001983,C00116,T00080,98.0,100.0,98.0,A+,Pass,6,Final,,2026-08-08 12:42:34.519
R0000148,S000865,C00106,T00128,26.0,50.0,52.0,D,Pass,2,Final,,2026-08-08 12:42:34.519
R0000149,S000166,C00025,T00004,57.0,100.0,57.0,D,Pass,6,Assignment,Average Performance,2026-08-08 12:42:34.519
R0000150,S001420,C00014,T00219,29.0,30.0,96.67,A+,Pass,3,Assignment,,2026-08-08 12:42:34.519
R0000151,S000719,C00057,T00236,10.0,20.0,50.0,D,Pass,4,Final,Needs Improvement,2026-08-08 12:42:34.519
R0000152,S000271,C00085,T00080,6.0,20.0,30.0,F,Fail,6,Assignment,,2026-08-08 12:42:34.519
R0000153,S001571,C00076,T00019,21.0,30.0,70.0,C+,Pass,5,Final,Excellent,2026-08-08 12:42:34.519
R0000154,S000201,C00034,T00188,6.0,20.0,30.0,F,Fail,2,Mid,,2026-08-08 12:42:34.519
R0000155,S001882,C00003,T00220,12.0,30.0,40.0,F,Fail,8,Quiz,,2026-08-08 12:42:34.519
R0000156,S001282,C00114,T00031,43.0,100.0,43.0,F,Fail,7,Quiz,,2026-08-08 12:42:34.519
R0000157,S000081,C00126,T00007,9.0,30.0,30.0,F,Fail,6,Assignment,Excellent,2026-08-08 12:42:34.519
R0000158,S000750,C00136,T00274,19.0,30.0,63.33,C,Pass,7,Final,Needs Improvement,2026-08-08 12:42:34.519
R0000159,S001455,C00144,T00133,23.0,30.0,76.67,B,Pass,7,Quiz,Excellent,2026-08-08 12:42:34.519
R0000160,S001268,C00071,T00233,14.0,20.0,70.0,C+,Pass,6,Final,Excellent,2026-08-08 12:42:34.519
R0000161,S000268,C00113,T00220,88.0,100.0,88.0,A,Pass,1,Quiz,Needs Improvement,2026-08-08 12:42:34.519
R0000162,S001904,C00028,T00230,22.0,30.0,73.33,C+,Pass,4,Quiz,Excellent,2026-08-08 12:42:34.519
R0000163,S001153,C00069,T00017,35.0,100.0,35.0,F,Fail,1,Assignment,Needs Improvement,2026-08-08 12:42:34.519
R0000164,S000522,C00010,T00168,39.0,50.0,78.0,B,Pass,3,Mid,Average Performance,2026-08-08 12:42:34.519
R0000165,S001371,C00122,T00216,17.0,20.0,85.0,A,Pass,6,Quiz,Excellent,2026-08-08 12:42:34.519
R0000166,S000604,C00132,T00193,16.0,20.0,80.0,B+,Pass,3,Quiz,Average Performance,2026-08-08 12:42:34.519
R0000167,S001685,C00096,T00167,14.0,30.0,46.67,F,Fail,5,Final,Needs Improvement,2026-08-08 12:42:34.519
R0000168,S000289,C00058,T00187,8.0,30.0,26.67,F,Fail,4,Final,Needs Improvement,2026-08-08 12:42:34.519
R0000169,S001875,C00109,T00065,18.0,50.0,36.0,F,Fail,5,Quiz,Excellent,2026-08-08 12:42:34.519
R0000170,S000594,C00060,T00075,21.0,30.0,70.0,C+,Pass,1,Quiz,Needs Improvement,2026-08-08 12:42:34.519
R0000171,S001335,C00145,T00022,89.0,100.0,89.0,A,Pass,3,Quiz,Needs Improvement,2026-08-08 12:42:34.520
R0000172,S001476,C00032,T00030,17.0,20.0,85.0,A,Pass,8,Quiz,Excellent,2026-08-08 12:42:34.520
R0000173,S001783,C00011,T00133,26.0,30.0,86.67,A,Pass,5,Assignment,,2026-08-08 12:42:34.520
R0000174,S001155,C00051,T00175,12.0,20.0,60.0,C,Pass,1,Quiz,Average Performance,2026-08-08 12:42:34.520
R0000175,S001886,C00016,T00158,41.0,50.0,82.0,B+,Pass,1,Mid,Needs Improvement,2026-08-08 12:42:34.520
R0000176,S001343,C00094,T00060,43.0,50.0,86.0,A,Pass,4,Assignment,Excellent,2026-08-08 12:42:34.520
R0000177,S000512,C00055,T00228,26.0,50.0,52.0,D,Pass,6,Mid,Average Performance,2026-08-08 12:42:34.520
R0000178,S001249,C00099,T00092,24.0,30.0,80.0,B+,Pass,3,Quiz,Average Performance,2026-08-08 12:42:34.520
R0000179,S001733,C00034,T00188,13.0,50.0,26.0,F,Fail,2,Mid,Excellent,2026-08-08 12:42:34.520
R0000180,S000682,C00114,T00031,10.0,30.0,33.33,F,Fail,7,Mid,,2026-08-08 12:42:34.520
R0000181,S000534,C00018,T00221,26.0,30.0,86.67,A,Pass,8,Final,Needs Improvement,2026-08-08 12:42:34.520
R0000182,S001956,C00014,T00219,12.0,50.0,24.0,F,Fail,3,Final,Needs Improvement,2026-08-08 12:42:34.520
R0000183,S001539,C00055,T00228,34.0,100.0,34.0,F,Fail,6,Final,Average Performance,2026-08-08 12:42:34.520
R0000184,S001952,C00017,T00048,18.0,30.0,60.0,C,Pass,2,Assignment,Needs Improvement,2026-08-08 12:42:34.520
R0000185,S000194,C00140,T00187,10.0,20.0,50.0,D,Pass,4,Final,Average Performance,2026-08-08 12:42:34.520
R0000186,S000668,C00146,T00238,26.0,100.0,26.0,F,Fail,8,Final,Needs Improvement,2026-08-08 12:42:34.520
R0000187,S000608,C00100,T00170,8.0,20.0,40.0,F,Fail,6,Final,Excellent,2026-08-08 12:42:34.520
R0000188,S000029,C00131,T00111,14.0,20.0,70.0,C+,Pass,5,Assignment,Excellent,2026-08-08 12:42:34.520
R0000189,S000565,C00071,T00233,15.0,30.0,50.0,D,Pass,6,Final,Needs Improvement,2026-08-08 12:42:34.520
R0000190,S001353,C00071,T00233,12.0,20.0,60.0,C,Pass,6,Quiz,Average Performance,2026-08-08 12:42:34.520
R0000191,S000945,C00091,T00201,40.0,100.0,40.0,F,Fail,5,Assignment,,2026-08-08 12:42:34.520
R0000192,S000220,C00118,T00235,40.0,50.0,80.0,B+,Pass,8,Mid,,2026-08-08 12:42:34.520
R0000193,S000111,C00088,T00202,29.0,30.0,96.67,A+,Pass,4,Mid,,2026-08-08 12:42:34.520
R0000194,S000790,C00102,T00160,29.0,30.0,96.67,A+,Pass,5,Final,,2026-08-08 12:42:34.520
R0000195,S000074,C00012,T00094,14.0,20.0,70.0,C+,Pass,1,Final,Excellent,2026-08-08 12:42:34.520
R0000196,S001652,C00106,T00128,13.0,20.0,65.0,C,Pass,2,Mid,Needs Improvement,2026-08-08 12:42:34.520
R0000197,S001659,C00017,T00048,7.0,20.0,35.0,F,Fail,2,Quiz,Needs Improvement,2026-08-08 12:42:34.520
R0000198,S001721,C00006,T00241,9.0,30.0,30.0,F,Fail,5,Assignment,Excellent,2026-08-08 12:42:34.520
R0000199,S001528,C00129,T00031,25.0,30.0,83.33,B+,Pass,1,Final,Needs Improvement,2026-08-08 12:42:34.520
R0000200,S000999,C00105,T00093,92.0,100.0,92.0,A+,Pass,8,Quiz,,2026-08-08 12:42:34.520
R0000201,S001519,C00067,T00290,29.0,30.0,96.67,A+,Pass,8,Mid,,2026-08-08 12:42:34.520
R0000202,S001264,C00106,T00128,23.0,50.0,46.0,F,Fail,2,Final,Needs Improvement,2026-08-08 12:42:34.520
R0000203,S000449,C00123,T00166,10.0,30.0,33.33,F,Fail,8,Mid,Excellent,2026-08-08 12:42:34.520
R0000204,S001809,C00097,T00191,38.0,50.0,76.0,B,Pass,4,Final,,2026-08-08 12:42:34.520
R0000205,S001098,C00049,T00076,30.0,50.0,60.0,C,Pass,7,Quiz,Average Performance,2026-08-08 12:42:34.520
R0000206,S000877,C00092,T00062,13.0,20.0,65.0,C,Pass,2,Quiz,Excellent,2026-08-08 12:42:34.520
R0000207,S000635,C00119,T00150,11.0,30.0,36.67,F,Fail,8,Quiz,Needs Improvement,2026-08-08 12:42:34.520
R0000208,S000928,C00067,T00290,33.0,50.0,66.0,C,Pass,8,Mid,Average Performance,2026-08-08 12:42:34.520
R0000209,S001239,C00067,T00290,14.0,20.0,70.0,C+,Pass,8,Assignment,,2026-08-08 12:42:34.520
R0000210,S001552,C00052,T00235,21.0,30.0,70.0,C+,Pass,8,Mid,,2026-08-08 12:42:34.520
R0000211,S000658,C00053,T00070,30.0,30.0,100.0,A+,Pass,3,Quiz,Needs Improvement,2026-08-08 12:42:34.520
R0000212,S000020,C00144,T00133,20.0,30.0,66.67,C,Pass,7,Quiz,Average Performance,2026-08-08 12:42:34.520
R0000213,S000533,C00030,T00118,9.0,30.0,30.0,F,Fail,6,Quiz,Average Performance,2026-08-08 12:42:34.520
R0000214,S000839,C00036,T00160,15.0,50.0,30.0,F,Fail,6,Assignment,Needs Improvement,2026-08-08 12:42:34.520
R0000215,S001452,C00052,T00235,49.0,100.0,49.0,F,Fail,8,Final,Average Performance,2026-08-08 12:42:34.520
R0000216,S000407,C00130,T00218,29.0,50.0,58.0,D,Pass,8,Final,Excellent,2026-08-08 12:42:34.520
R0000217,S001246,C00039,T00020,30.0,50.0,60.0,C,Pass,3,Final,,2026-08-08 12:42:34.520
R0000218,S000632,C00125,T00073,10.0,20.0,50.0,D,Pass,2,Mid,Excellent,2026-08-08 12:42:34.520
R0000219,S000721,C00138,T00275,14.0,30.0,46.67,F,Fail,5,Final,Average Performance,2026-08-08 12:42:34.520
R0000220,S001874,C00034,T00188,46.0,50.0,92.0,A+,Pass,2,Assignment,Average Performance,2026-08-08 12:42:34.520
R0000221,S001099,C00067,T00290,34.0,100.0,34.0,F,Fail,8,Quiz,,2026-08-08 12:42:34.520
R0000222,S000048,C00017,T00048,5.0,20.0,25.0,F,Fail,2,Quiz,Excellent,2026-08-08 12:42:34.520
R0000223,S000630,C00057,T00236,70.0,100.0,70.0,C+,Pass,4,Assignment,Average Performance,2026-08-08 12:42:34.520
R0000224,S001193,C00055,T00228,28.0,50.0,56.0,D,Pass,6,Final,,2026-08-08 12:42:34.520
R0000225,S000922,C00054,T00130,26.0,30.0,86.67,A,Pass,6,Final,Excellent,2026-08-08 12:42:34.520
R0000226,S001763,C00028,T00230,40.0,100.0,40.0,F,Fail,4,Assignment,Excellent,2026-08-08 12:42:34.520
