attendance_id,student_id,course_id,teacher_id,attendance_date,status,remarks,created_at
AT0000041,S001588,C00015,T00109,2025-07-18,Present,,2026-08-08 12:40:14.386
AT0000042,S000713,C00033,T00139,2025-03-05,Present,,2026-08-08 12:40:14.386
AT0000043,S001542,C00057,T00236,2025-03-13,Leave,,2026-08-08 12:40:14.386
AT0000044,S000808,C00087,T00108,2025-09-10,Present,,2026-08-08 12:40:14.386
AT0000045,S001430,C00118,T00235,2025-02-18,Late,Medical Leave,2026-08-08 12:40:14.386
AT0000046,S000123,C00066,T00044,2025-12-13,Present,,2026-08-08 12:40:14.386
AT0000047,S001069,C00115,T00092,2025-04-13,Late,Medical Leave,2026-08-08 12:40:14.386
AT0000048,S001244,C00139,T00176,2025-12-10,Present,,2026-08-08 12:40:14.386
AT0000049,S000413,C00123,T00166,2025-10-21,Present,,2026-08-08 12:40:14.386
AT0000050,S001723,C00058,T00187,2025-11-12,Present,,2026-08-08 12:40:14.386
AT0000051,S001901,C00043,T00121,2025-05-26,Present,,2026-08-08 12:40:14.386
AT0000052,S001624,C00015,T00109,2025-04-15,Present,,2026-08-08 12:40:14.386
AT0000053,S001676,C00061,T00213,2025-07-26,Present,,2026-08-08 12:40:14.386
AT0000054,S000214,C00030,T00118,2025-09-19,Late,Late Arrival,2026-08-08 12:40:14.386
AT0000055,S000388,C00035,T00148,2025-02-27,Present,,2026-08-08 12:40:14.386
AT0000056,S001234,C00150,T00001,2025-09-22,Present,,2026-08-08 12:40:14.386
AT0000057,S000717,C00121,T00276,2025-06-10,Leave,Late Arrival,2026-08-08 12:40:14.386
AT0000058,S000422,C00023,T00224,2025-10-10,Present,,2026-08-08 12:40:14.386
AT0000059,S001930,C00092,T00062,2025-10-10,Leave,Absent Without Notice,2026-08-08 12:40:14.386
AT0000060,S000005,C00062,T00147,2025-09-08,Absent,,2026-08-08 12:40:14.386
AT0000061,S001821,C00104,T00041,2025-03-08,Late,Medical Leave,2026-08-08 12:40:14.386
AT0000062,S000664,C00035,T00148,2025-01-31,Present,,2026-08-08 12:40:14.386
AT0000063,S001409,C00131,T00111,2025-11-07,Present,,2026-08-08 12:40:14.386
AT0000064,S000958,C00137,T00280,2025-09-01,Present,,2026-08-08 12:40:14.386
AT0000065,S001549,C00072,T00015,2025-09-03,Leave,Medical Leave,2026-08-08 12:40:14.386
AT0000066,S000995,C00024,T00043,2025-08-21,Present,,2026-08-08 12:40:14.386
AT0000067,S001096,C00149,T00110,2025-10-10,Present,,2026-08-08 12:40:14.386
AT0000068,S001147,C00058,T00187,2025-01-29,Present,,2026-08-08 12:40:14.386
AT0000069,S000579,C00009,T00037,2025-01-14,Present,,2026-08-08 12:40:14.386
AT0000070,S000827,C00096,T00167,2025-11-23,Present,,2026-08-08 12:40:14.386
AT0000071,S001612,C00123,T00166,2025-10-14,Absent,Late Arrival,2026-08-08 12:40:14.386
AT0000072,S001137,C00076,T00019,2025-08-11,Leave,,2026-08-08 12:40:14.386
AT0000073,S001965,C00049,T00076,2025-01-13,Present,,2026-08-08 12:40:14.386
AT0000074,S000342,C00109,T00065,2025-03-06,Present,,2026-08-08 12:40:14.386
AT0000075,S000746,C00054,T00130,2025-10-22,Present,,2026-08-08 12:40:14.386
AT0000076,S000517,C00046,T00068,2025-08-17,Leave,Absent Without Notice,2026-08-08 12:40:14.386
AT0000077,S000138,C00147,T00037,2025-03-10,Present,,2026-08-08 12:40:14.386
AT0000078,S000876,C00105,T00093,2025-01-30,Present,,2026-08-08 12:40:14.386
AT0000079,S000404,C00033,T00139,2025-08-28,Present,,2026-08-08 12:40:14.386
AT0000080,S001772,C00016,T00158,2025-09-02,Present,,2026-08-08 12:40:14.386
AT0000081,S001641,C00130,T00218,2025-08-13,Present,,2026-08-08 12:40:14.386
AT0000082,S001982,C00115,T00092,2025-01-26,Present,,2026-08-08 12:40:14.387
AT0000083,S000298,C00118,T00235,2025-07-07,Late,Medical Leave,2026-08-08 12:40:14.387
AT0000084,S000800,C00134,T00062,2025-12-31,Absent,,2026-08-08 12:40:14.387
AT0000085,S001000,C00002,T00001,2025-05-04,Present,,2026-08-08 12:40:14.387
AT0000086,S001285,C00123,T00166,2025-11-06,Present,,2026-08-08 12:40:14.387
AT0000087,S001053,C00091,T00201,2025-09-04,Present,,2026-08-08 12:40:14.387
AT0000088,S001696,C00034,T00188,2025-07-07,Late,Medical Leave,2026-08-08 12:40:14.387
AT0000089,S001746,C00087,T00108,2025-10-28,Present,,2026-08-08 12:40:14.387
AT0000090,S001698,C00035,T00148,2025-12-16,Present,,2026-08-08 12:40:14.387
AT0000091,S001588,C00062,T00147,2025-04-20,Present,,2026-08-08 12:40:14.387
AT0000092,S001621,C00105,T00093,2025-07-04,Present,,2026-08-08 12:40:14.387
AT0000093,S000134,C00141,T00199,2025-10-21,Present,,2026-08-08 12:40:14.387
AT0000094,S000414,C00047,T00154,2025-11-18,Present,,2026-08-08 12:40:14.387
AT0000095,S001418,C00099,T00092,2025-12-12,Present,,2026-08-08 12:40:14.387
AT0000096,S000050,C00044,T00201,2025-09-05,Present,,2026-08-08 12:40:14.387
AT0000097,S001435,C00124,T00105,2025-04-17,Present,,2026-08-08 12:40:14.387
AT0000098,S001704,C00043,T00121,2025-03-31,Leave,Late Arrival,2026-08-08 12:40:14.387
AT0000099,S001160,C00021,T00115,2025-07-10,Present,,2026-08-08 12:40:14.387
AT0000100,S001175,C00030,T00118,2025-04-22,Present,,2026-08-08 12:40:14.387
AT0000101,S001209,C00117,T00041,2025-06-30,Late,Absent Without Notice,2026-08-08 12:40:14.387
AT0000102,S000129,C00045,T00172,2025-03-26,Present,,2026-08-08 12:40:14.387
AT0000103,S001348,C00145,T00022,2025-09-28,Late,Absent Without Notice,2026-08-08 12:40:14.387
AT0000104,S001996,C00059,T00300,2025-02-25,Present,,2026-08-08 12:40:14.387
AT0000105,S000353,C00025,T00004,2025-11-25,Absent,Absent Without Notice,2026-08-08 12:40:14.387
AT0000106,S000870,C00099,T00092,2025-01-10,Present,,2026-08-08 12:40:14.387
AT0000107,S000634,C00039,T00020,2025-11-22,Present,,2026-08-08 12:40:14.387
AT0000108,S000812,C00095,T00291,2025-10-23,Present,,2026-08-08 12:40:14.387
AT0000109,S000796,C00140,T00187,2025-03-05,Present,,2026-08-08 12:40:14.387
AT0000110,S000899,C00034,T00188,2025-03-30,Present,,2026-08-08 12:40:14.387
AT0000111,S001341,C00136,T00274,2025-07-29,Present,,2026-08-08 12:40:14.387
AT0000112,S000389,C00006,T00241,2025-01-15,Present,,2026-08-08 12:40:14.387
AT0000113,S000709,C00150,T00001,2025-06-25,Present,,2026-08-08 12:40:14.387
AT0000114,S000211,C00052,T00235,2025-02-25,Absent,,2026-08-08 12:40:14.387
AT0000115,S000885,C00111,T00184,2025-08-29,Present,,2026-08-08 12:40:14.387
AT0000116,S000117,C00040,T00240,2025-05-26,Present,,2026-08-08 12:40:14.387
AT0000117,S001277,C00103,T00160,2025-07-06,Present,,2026-08-08 12:40:14.387
AT0000118,S001984,C00002,T00001,2025-02-08,Late,Absent Without Notice,2026-08-08 12:40:14.387
AT0000119,S001386,C00113,T00220,2025-11-02,Present,,2026-08-08 12:40:14.387
AT0000120,S000185,C00092,T00062,2025-04-09,Present,,2026-08-08 12:40:14.387
AT0000121,S001474,C00111,T00184,2025-04-26,Present,,2026-08-08 12:40:14.387
AT0000122,S001948,C00012,T00094,2025-12-05,Present,,2026-08-08 12:40:14.387
AT0000123,S000957,C00013,T00291,2025-11-03,Late,,2026-08-08 12:40:14.387
AT0000124,S001634,C00050,T00025,2025-05-03,Present,,2026-08-08 12:40:14.387
AT0000125,S000411,C00010,T00168,2025-12-08,Present,,2026-08-08 12:40:14.387
AT0000126,S001268,C00104,T00041,2025-10-17,Present,,2026-08-08 12:40:14.387
AT0000127,S001657,C00139,T00176,2025-01-18,Absent,Late Arrival,2026-08-08 12:40:14.387
AT0000128,S001424,C00031,T00063,2025-08-08,Present,,2026-08-08 12:40:14.387
AT0000129,S000529,C00087,T00108,2025-12-12,Present,,2026-08-08 12:40:14.387
AT0000130,S000597,C00052,T00235,2025-05-12,Absent,Medical Leave,2026-08-08 12:40:14.387
AT0000131,S001591,C00147,T00037,2025-10-20,Present,,2026-08-08 12:40:14.387
AT0000132,S000966,C00065,T00244,2025-06-02,Present,,2026-08-08 12:40:14.387
AT0000133,S000432,C00025,T00004,2025-03-08,Present,,2026-08-08 12:40:14.387
AT0000134,S000423,C00040,T00240,2025-04-26,Present,,2026-08-08 12:40:14.387
AT0000135,S000859,C00100,T00170,2025-02-07,Present,,2026-08-08 12:40:14.387
AT0000136,S001066,C00139,T00176,2025-03-20,Present,,2026-08-08 12:40:14.387
AT0000137,S001543,C00147,T00037,2025-03-05,Present,,2026-08-08 12:40:14.387
AT0000138,S001436,C00003,T00220,2025-12-06,Present,,2026-08-08 12:40:14.387
AT0000139,S001007,C00116,T00080,2025-06-21,Absent,Absent Without Notice,2026-08-08 12:40:14.387
AT0000140,S001743,C00030,T00118,2025-05-06,Present,,2026-08-08 12:40:14.387
AT0000141,S000677,C00014,T00219,2025-11-30,Present,,2026-08-08 12:40:14.387
AT0000142,S000196,C00010,T00168,2025-10-03,Absent,,2026-08-08 12:40:14.387
AT0000143,S000893,C00028,T00230,2025-09-20,Present,,2026-08-08 12:40:14.387
AT0000144,S001110,C00090,T00240,2025-06-21,Absent,,2026-08-08 12:40:14.387
AT0000145,S001636,C00068,T00067,2025-08-16,Present,,2026-08-08 12:40:14.387
AT0000146,S000169,C00030,T00118,2025-01-24,Leave,Absent Without Notice,2026-08-08 12:40:14.387
AT0000147,S000079,C00006,T00241,2025-08-15,Late,,2026-08-08 12:40:14.387
AT0000148,S001740,C00025,T00004,2025-06-10,Late,Late Arrival,2026-08-08 12:40:14.387
AT0000149,S000343,C00084,T00069,2025-06-12,Present,,2026-08-08 12:40:14.387
AT0000150,S000814,C00130,T00218,2025-02-21,Present,,2026-08-08 12:40:14.387
AT0000151,S001244,C00139,T00176,2025-12-25,Present,,2026-08-08 12:40:14.387
AT0000152,S001676,C00095,T00291,2025-10-08,Present,,2026-08-08 12:40:14.387
AT0000153,S000437,C00085,T00080,2025-07-02,Late,Medical Leave,2026-08-08 12:40:14.387
AT0000154,S001310,C00104,T00041,2025-09-05,Absent,Late Arrival,2026-08-08 12:40:14.387
AT0000155,S000190,C00034,T00188,2025-11-05,Present,,2026-08-08 12:40:14.387
AT0000156,S000134,C00029,T00115,2025-10-07,Present,,2026-08-08 12:40:14.387
AT0000157,S001516,C00052,T00235,2025-11-17,Late,Late Arrival,2026-08-08 12:40:14.387
AT0000158,S001095,C00016,T00158,2026-01-01,Late,,2026-08-08 12:40:14.387
AT0000159,S001208,C00126,T00007,2025-08-16,Present,,2026-08-08 12:40:14.387
AT0000160,S001178,C00062,T00147,2025-04-04,Present,,2026-08-08 12:40:14.387
AT0000161,S000245,C00108,T00050,2025-11-07,Present,,2026-08-08 12:40:14.387
AT0000162,S000901,C00054,T00130,2025-08-20,Present,,2026-08-08 12:40:14.387
AT0000163,S001705,C00123,T00166,2025-12-10,Present,,2026-08-08 12:40:14.387
AT0000164,S000757,C00136,T00274,2025-08-04,Present,,2026-08-08 12:40:14.387
AT0000165,S001475,C00035,T00148,2025-06-28,Present,,2026-08-08 12:40:14.387
AT0000166,S001229,C00137,T00280,2025-06-01,Absent,Late Arrival,2026-08-08 12:40:14.388
AT0000167,S000730,C00104,T00041,2025-11-26,Present,,2026-08-08 12:40:14.388
AT0000168,S001174,C00127,T00246,2025-05-01,Present,,2026-08-08 12:40:14.388
AT0000169,S001822,C00026,T00216,2025-05-11,Present,,2026-08-08 12:40:14.388
AT0000170,S001318,C00141,T00199,2025-04-24,Present,,2026-08-08 12:40:14.388
AT0000171,S000904,C00047,T00154,2025-11-07,Present,,2026-08-08 12:40:14.388
AT0000172,S001618,C00012,T00094,2025-06-19,Leave,,2026-08-08 12:40:14.388
AT0000173,S000603,C00016,T00158,2025-02-25,Absent,,2026-08-08 12:40:14.388
AT0000174,S001320,C00119,T00150,2025-06-16,Late,,2026-08-08 12:40:14.388
AT0000175,S001253,C00082,T00100,2025-11-26,Present,,2026-08-08 12:40:14.388
AT0000176,S001079,C00005,T00214,2025-02-06,Present,,2026-08-08 12:40:14.388
AT0000177,S000651,C00048,T00148,2025-11-26,Present,,2026-08-08 12:40:14.388
AT0000178,S001070,C00009,T00037,2025-07-25,Leave,Absent Without Notice,2026-08-08 12:40:14.388
AT0000179,S000254,C00012,T00094,2025-04-08,Present,,2026-08-08 12:40:14.388
AT0000180,S000523,C00004,T00237,2025-05-25,Present,,2026-08-08 12:40:14.388
AT0000181,S001342,C00052,T00235,2025-11-21,Present,,2026-08-08 12:40:14.388
AT0000182,S001099,C00034,T00188,2025-07-17,Present,,2026-08-08 12:40:14.388
AT0000183,S001533,C00078,T00073,2025-12-15,Present,,2026-08-08 12:40:14.388
AT0000184,S000519,C00042,T00286,2025-12-27,Present,,2026-08-08 12:40:14.388
AT0000185,S001658,C00116,T00080,2025-06-11,Present,,2026-08-08 12:40:14.388
AT0000186,S000299,C00115,T00092,2025-11-29,Present,,2026-08-08 12:40:14.388
AT0000187,S001309,C00085,T00080,2025-08-31,Present,,2026-08-08 12:40:14.388
AT0000188,S001287,C00087,T00108,2025-02-01,Absent,Absent Without Notice,2026-08-08 12:40:14.388
AT0000189,S000233,C00045,T00172,2025-01-24,Present,,2026-08-08 12:40:14.388
AT0000190,S000465,C00071,T00233,2025-10-28,Present,,2026-08-08 12:40:14.388
AT0000191,S000701,C00033,T00139,2025-04-05,Present,,2026-08-08 12:40:14.388
AT0000192,S000129,C00026,T00216,2025-11-07,Late,Medical Leave,2026-08-08 12:40:14.388
AT0000193,S001532,C00089,T00208,2025-10-09,Present,,2026-08-08 12:40:14.388
AT0000194,S001608,C00023,T00224,2025-05-05,Present,,2026-08-08 12:40:14.388
AT0000195,S000186,C00089,T00208,2025-04-18,Absent,Late Arrival,2026-08-08 12:40:14.388
AT0000196,S001779,C00116,T00080,2025-08-10,Present,,2026-08-08 12:40:14.388
AT0000197,S001463,C00092,T00062,2025-02-14,Late,Late Arrival,2026-08-08 12:40:14.388
AT0000198,S000606,C00109,T00065,2025-12-14,Present,,2026-08-08 12:40:14.388
AT0000199,S000946,C00066,T00044,2025-07-24,Absent,,2026-08-08 12:40:14.388
AT0000200,S000581,C00046,T00068,2025-06-20,Late,Absent Without Notice,2026-08-08 12:40:14.388
AT0000201,S001634,C00100,T00170,2025-01-17,Present,,2026-08-08 12:40:14.388
AT0000202,S000833,C00033,T00139,2025-06-10,Present,,2026-08-08 12:40:14.388
AT0000203,S000073,C00123,T00166,2025-02-19,Leave,Medical Leave,2026-08-08 12:40:14.388
AT0000204,S000456,C00092,T00062,2025-04-16,Absent,,2026-08-08 12:40:14.388
AT0000205,S000577,C00122,T00216,2025-08-10,Present,,2026-08-08 12:40:14.388
AT0000206,S001326,C00128,T00197,2025-05-01,Leave,,2026-08-08 12:40:14.388
AT0000207,S000979,C00036,T00160,2025-12-29,Present,,2026-08-08 12:40:14.388
AT0000208,S000467,C00097,T00191,2025-03-24,Absent,Medical Leave,2026-08-08 12:40:14.388
AT0000209,S000291,C00148,T00199,2025-09-21,Late,Late Arrival,2026-08-08 12:40:14.388
AT0000210,S000109,C00080,T00062,2025-02-28,Leave,Late Arrival,2026-08-08 12:40:14.388
AT0000211,S000078,C00092,T00062,2025-09-02,Present,,2026-08-08 12:40:14.388
AT0000212,S000676,C00098,T00297,2025-11-23,Present,,2026-08-08 12:40:14.388
AT0000213,S001954,C00132,T00193,2025-02-12,Present,,2026-08-08 12:40:14.388
AT0000214,S001396,C00085,T00080,2025-09-26,Present,,2026-08-08 12:40:14.388
AT0000215,S001078,C00043,T00121,2025-01-08,Present,,2026-08-08 12:40:14.388
AT0000216,S001575,C00135,T00280,2025-11-10,Present,,2026-08-08 12:40:14.388
AT0000217,S001940,C00134,T00062,2025-09-08,Present,,2026-08-08 12:40:14.388
AT0000218,S000340,C00072,T00015,2025-11-13,Leave,,2026-08-08 12:40:14.388
AT0000219,S001832,C00005,T00214,2025-01-06,Late,Medical Leave,2026-08-08 12:40:14.388
AT0000220,S001809,C00112,T00084,2025-05-24,Present,,2026-08-08 12:40:14.388
AT0000221,S000316,C00076,T00019,2025-04-24,Present,,2026-08-08 12:40:14.388
AT0000222,S000940,C00150,T00001,2025-10-28,Present,,2026-08-08 12:40:14.388
AT0000223,S001527,C00077,T00274,2025-12-03,Present,,2026-08-08 12:40:14.388
AT0000224,S000369,C00049,T00076,2025-12-26,Leave,Medical Leave,2026-08-08 12:40:14.388
AT0000225,S000039,C00085,T00080,2025-04-22,Present,,2026-08-08 12:40:14.388
AT0000226,S000044,C00113,T00220,2025-11-28,Present,,2026-08-08 12:40:14.388
AT0000227,S000203,C00130,T00218,2025-04-30,Present,,2026-08-08 12:40:14.388
AT0000228,S001562,C00144,T00133,2025-01-19,Absent,,2026-08-08 12:40:14.388
AT0000229,S000558,C00149,T00110,2025-09-14,Present,,2026-08-08 12:40:14.388
AT0000230,S001899,C00082,T00100,2025-03-02,Present,,2026-08-08 12:40:14.388
AT0000231,S001175,C00126,T00007,2025-05-24,Present,,2026-08-08 12:40:14.388
AT0000232,S000875,C00064,T00273,2025-05-16,Present,,2026-08-08 12:40:14.388
AT0000233,S000837,C00003,T00220,2025-03-30,Present,,2026-08-08 12:40:14.388
AT0000234,S000647,C00087,T00108,2025-10-10,Absent,,2026-08-08 12:40:14.388
AT0000235,S001328,C00046,T00068,2025-01-29,Present,,2026-08-08 12:40:14.388
AT0000236,S001628,C00143,T00114,2025-08-21,Absent,,2026-08-08 12:40:14.388
AT0000237,S000611,C00130,T00218,2025-12-01,Present,,2026-08-08 12:40:14.388
AT0000238,S001429,C00010,T00168,2025-12-03,Present,,2026-08-08 12:40:14.388
AT0000239,S000472,C00024,T00043,2025-12-11,Present,,2026-08-08 12:40:14.388
AT0000240,S001692,C00057,T00236,2025-02-14,Present,,2026-08-08 12:40:14.388
AT0000241,S000710,C00059,T00300,2025-03-19,Present,,2026-08-08 12:40:14.388
AT0000242,S001531,C00094,T00060,2025-06-09,Present,,2026-08-08 12:40:14.388
AT0000243,S000807,C00014,T00219,2025-08-07,Present,,2026-08-08 12:40:14.388
AT0000244,S000146,C00050,T00025,2025-04-01,Present,,2026-08-08 12:40:14.388
AT0000245,S001219,C00012,T00094,2025-10-14,Present,,2026-08-08 12:40:14.388
AT0000246,S001863,C00057,T00236,2025-08-15,Present,,2026-08-08 12:40:14.388
AT0000247,S001736,C00075,T00234,2025-04-16,Late,Absent Without Notice,2026-08-08 12:40:14.388
AT0000248,S000144,C00101,T00067,2025-12-17,Present,,2026-08-08 12:40:14.389
AT0000249,S000609,C00139,T00176,2025-12-20,Present,,2026-08-08 12:40:14.389
AT0000250,S000573,C00110,T00249,2025-03-22,Absent,Late Arrival,2026-08-08 12:40:14.389
AT0000251,S001479,C00137,T00280,2025-11-10,Present,,2026-08-08 12:40:14.389
AT0000252,S000234,C00054,T00130,2025-06-26,Present,,2026-08-08 12:40:14.389
AT0000253,S001738,C00082,T00100,2025-09-13,Present,,2026-08-08 12:40:14.389
AT0000254,S001998,C00131,T00111,2025-08-09,Late,Medical Leave,2026-08-08 12:40:14.389
AT0000255,S001594,C00055,T00228,2025-06-20,Absent,Medical Leave,2026-08-08 12:40:14.389
AT0000256,S000319,C00125,T00073,2025-06-17,Present,,2026-08-08 12:40:14.389
AT0000257,S000986,C00014,T00219,2025-05-01,Late,Absent Without Notice,2026-08-08 12:40:14.389
AT0000258,S001415,C00017,T00048,2025-08-21,Present,,2026-08-08 12:40:14.389
AT0000259,S001096,C00098,T00297,2025-11-27,Present,,2026-08-08 12:40:14.389
AT0000260,S001439,C00006,T00241,2025-12-04,Absent,,2026-08-08 12:40:14.389
AT0000261,S000327,C00092,T00062,2025-11-03,Present,,2026-08-08 12:40:14.389
AT0000262,S001700,C00025,T00004,2025-10-08,Present,,2026-08-08 12:40:14.389
AT0000263,S001985,C00093,T00224,2025-07-17,Absent,Absent Without Notice,2026-08-08 12:40:14.389
AT0000264,S001024,C00032,T00030,2025-02-07,Present,,2026-08-08 12:40:14.389
AT0000265,S000567,C00032,T00030,2025-01-24,Present,,2026-08-08 12:40:14.389
AT0000266,S001440,C00139,T00176,2025-10-21,Late,Medical Leave,2026-08-08 12:40:14.389
AT0000267,S001781,C00053,T00070,2025-12-11,Present,,2026-08-08 12:40:14.389
AT0000268,S001635,C00004,T00237,2025-01-05,Late,Late Arrival,2026-08-08 12:40:14.389
AT0000269,S000511,C00117,T00041,2025-03-23,Present,,2026-08-08 12:40:14.389
AT0000270,S001907,C00133,T00103,2025-05-25,Present,,2026-08-08 12:40:14.389
AT0000271,S000296,C00099,T00092,2025-07-23,Late,Late Arrival,2026-08-08 12:40:14.389
AT0000272,S000480,C00052,T00235,2025-10-02,Present,,2026-08-08 12:40:14.389
AT0000273,S000044,C00056,T00017,2025-10-08,Present,,2026-08-08 12:40:14.389
AT0000274,S001686,C00024,T00043,2025-02-13,Leave,,2026-08-08 12:40:14.389
AT0000275,S000782,C00050,T00025,2025-12-11,Present,,2026-08-08 12:40:14.389
AT0000276,S000552,C00149,T00110,2025-04-09,Present,,2026-08-08 12:40:14.389
AT0000277,S001430,C00104,T00041,2025-12-13,Present,,2026-08-08 12:40:14.389
AT0000278,S001021,C00111,T00184,2025-05-24,Late,Late Arrival,2026-08-08 12:40:14.389
AT0000279,S000284,C00093,T00224,2025-07-26,Late,Medical Leave,2026-08-08 12:40:14.389
AT0000280,S001631,C00122,T00216,2025-12-03,Present,,2026-08-08 12:40:14.389
AT0000281,S000761,C00048,T00148,2025-03-08,Present,,2026-08-08 12:40:14.389
AT0000282,S001963,C00004,T00237,2025-09-27,Present,,2026-08-08 12:40:14.389
AT0000283,S000657,C00060,T00075,2025-01-19,Present,,2026-08-08 12:40:14.389
AT0000284,S001675,C00009,T00037,2025-09-28,Present,,2026-08-08 12:40:14.389
AT0000285,S000566,C00144,T00133,2025-06-16,Present,,2026-08-08 12:40:14.389
AT0000286,S001168,C00001,T00296,2025-12-27,Late,Medical Leave,2026-08-08 12:40:14.389
AT0000287,S000992,C00059,T00300,2025-08-04,Present,,2026-08-08 12:40:14.389
AT0000288,S001675,C00082,T00100,2025-06-29,Present,,2026-08-08 12:40:14.389
AT0000289,S001081,C00052,T00235,2025-04-23,Present,,2026-08-08 12:40:14.389
AT0000290,S000634,C00050,T00025,2025-10-26,Present,,2026-08-08 12:40:14.389
AT0000291,S000524,C00054,T00130,2025-03-14,Leave,Absent Without Notice,2026-08-08 12:40:14.389
AT0000292,S000901,C00054,T00130,2025-10-26,Present,,2026-08-08 12:40:14.389
AT0000293,S001843,C00019,T00128,2025-02-13,Present,,2026-08-08 12:40:14.389
AT0000294,S000760,C00026,T00216,2025-02-05,Present,,2026-08-08 12:40:14.389
AT0000295,S000120,C00071,T00233,2025-11-14,Present,,2026-08-08 12:40:14.389
AT0000296,S001913,C00027,T00286,2025-05-28,Leave,Medical Leave,2026-08-08 12:40:14.389
AT0000297,S001163,C00033,T00139,2025-07-26,Present,,2026-08-08 12:40:14.389
AT0000298,S001621,C00148,T00199,2025-01-17,Leave,Late Arrival,2026-08-08 12:40:14.389
AT0000299,S000901,C00146,T00238,2025-08-12,Present,,2026-08-08 12:40:14.389
AT0000300,S001138,C00021,T00115,2025-08-03,Present,,2026-08-08 12:40:14.389
AT0000301,S001718,C00067,T00290,2025-03-23,Present,,2026-08-08 12:40:14.389
AT0000302,S000623,C00046,T00068,2025-06-14,Leave,,2026-08-08 12:40:14.389
AT0000303,S001674,C00085,T00080,2025-04-28,Present,,2026-08-08 12:40:14.389
AT0000304,S001064,C00075,T00234,2025-03-10,Present,,2026-08-08 12:40:14.389
AT0000305,S001161,C00147,T00037,2025-09-04,Present,,2026-08-08 12:40:14.389
AT0000306,S000457,C00140,T00187,2025-01-31,Absent,Medical Leave,2026-08-08 12:40:14.389
AT0000307,S001172,C00031,T00063,2025-02-12,Leave,,2026-08-08 12:40:14.389
AT0000308,S001192,C00016,T00158,2025-06-21,Present,,2026-08-08 12:40:14.389
