student_id,department,semester,attendance,cgpa,assignment_marks,quiz_marks,mid_marks,final_marks,dropout_risk,result
ST0116,Artificial Intelligence,7,82,2.67,12,8,28,71,Medium,Pass
ST0117,Information Technology,6,96,3.37,19,8,45,78,Low,Pass
ST0118,Software Engineering,2,60,1.78,11,4,23,23,High,Fail
ST0119,Information Technology,2,84,3.16,10,7,32,49,Low,Pass
ST0120,Artificial Intelligence,1,91,3.85,17,9,42,100,Low,Pass
ST0121,Computer Science,3,44,2.28,9,3,21,41,Medium,Fail
ST0122,Information Technology,7,72,2.82,10,6,33,46,Low,Fail
ST0123,Information Technology,8,87,3.58,18,10,49,78,Low,Pass
ST0124,Computer Science,1,86,3.78,20,9,47,95,Low,Pass
ST0125,Information Technology,6,52,1.84,6,5,27,22,Medium,Fail
ST0126,Data Science,5,89,3.42,20,10,45,87,Low,Pass
ST0127,Artificial Intelligence,7,78,2.39,11,6,38,59,Low,Fail
ST0128,Software Engineering,6,52,1.83,6,4,26,30,High,Fail
ST0129,Information Technology,3,80,2.36,11,5,38,48,Medium,Fail
ST0130,Computer Science,7,95,3.74,19,9,50,99,Low,Pass
ST0131,Computer Science,4,59,1.75,6,3,22,41,High,Fail
ST0132,Computer Science,5,82,2.63,14,6,38,72,Low,Pass
ST0133,Computer Science,7,94,3.94,18,8,42,79,Low,Pass
ST0134,Artificial Intelligence,8,85,3.27,20,8,46,88,Low,Pass
ST0135,Software Engineering,3,94,3.78,20,10,41,76,Low,Pass
ST0136,Data Science,8,41,2.03,9,5,30,33,High,Fail
ST0137,Information Technology,8,88,3.48,16,9,50,96,Low,Pass
ST0138,Artificial Intelligence,3,66,2.5,10,5,31,54,Low,Fail
ST0139,Information Technology,4,88,3.21,19,8,42,87,Low,Pass
ST0140,Information Technology,6,76,2.36,10,8,25,59,Low,Fail
ST0141,Software Engineering,6,77,2.93,16,7,28,57,Low,Pass
ST0142,Information Technology,7,59,1.86,10,2,26,23,Medium,Fail
ST0143,Information Technology,2,67,2.65,14,7,32,55,Low,Fail
ST0144,Artificial Intelligence,3,81,2.75,15,7,29,52,Low,Pass
ST0145,Information Technology,8,89,3.81,16,8,50,90,Low,Pass
ST0146,Data Science,8,54,2.04,10,4,22,34,Medium,Fail
ST0147,Computer Science,1,73,2.83,15,5,34,59,Medium,Fail
ST0148,Information Technology,8,74,2.37,11,8,39,63,Low,Fail
ST0149,Information Technology,2,75,2.84,12,5,39,48,Medium,Pass
ST0150,Data Science,5,66,2.52,17,8,30,56,Medium,Fail
ST0151,Artificial Intelligence,7,75,2.9,10,7,27,55,Low,Pass
ST0152,Data Science,5,89,3.47,20,10,42,86,Low,Pass
ST0153,Data Science,2,87,3.45,19,10,45,79,Low,Pass
ST0154,Software Engineering,4,65,2.62,12,6,35,69,Medium,Fail
ST0155,Software Engineering,7,44,1.56,6,2,30,30,Medium,Fail
ST0156,Data Science,4,90,3.78,16,9,45,96,Low,Pass
ST0157,Information Technology,6,79,2.51,13,7,40,73,Low,Pass
ST0158,Computer Science,5,54,2.11,11,5,22,26,Medium,Fail
ST0159,Data Science,5,76,2.79,11,5,34,47,Low,Pass
ST0160,Computer Science,7,44,2.16,6,3,27,31,Medium,Fail
ST0161,Artificial Intelligence,2,76,2.51,11,7,32,45,Medium,Pass
ST0162,Computer Science,2,44,1.53,12,3,27,34,Medium,Fail
ST0163,Software Engineering,5,89,3.64,20,10,46,78,Low,Pass
ST0164,Information Technology,1,66,2.51,17,5,28,71,Medium,Fail
ST0165,Computer Science,3,69,2.56,10,7,32,63,Medium,Fail
ST0166,Artificial Intelligence,6,76,2.36,10,8,40,46,Medium,Fail
ST0167,Computer Science,3,76,3.0,15,6,28,69,Medium,Pass
ST0168,Computer Science,3,75,3.02,12,8,40,65,Low,Pass
ST0169,Artificial Intelligence,6,79,2.33,13,5,31,73,Low,Fail
ST0170,Artificial Intelligence,6,82,2.72,10,6,34,56,Low,Pass
ST0171,Software Engineering,6,96,3.55,19,10,47,87,Low,Pass
ST0172,Information Technology,3,80,2.63,14,5,38,47,Medium,Pass
ST0173,Software Engineering,7,88,3.26,18,9,47,94,Low,Pass
ST0174,Data Science,2,76,2.7,15,8,33,65,Low,Pass
ST0175,Artificial Intelligence,4,70,3.15,12,8,26,49,Low,Fail
ST0176,Information Technology,2,83,2.33,12,8,36,56,Medium,Fail
ST0177,Data Science,3,96,3.52,18,8,41,75,Low,Pass
ST0178,Software Engineering,8,82,2.4,14,8,31,64,Medium,Fail
ST0179,Computer Science,6,87,3.56,19,8,50,85,Low,Pass
ST0180,Software Engineering,2,74,3.09,12,6,36,61,Low,Fail
ST0181,Information Technology,8,47,2.12,5,4,28,38,High,Fail
ST0182,Data Science,7,87,3.25,19,10,47,91,Low,Pass
ST0183,Information Technology,3,42,1.6,10,2,27,34,High,Fail
ST0184,Artificial Intelligence,3,70,2.98,12,8,26,71,Low,Fail
ST0185,Artificial Intelligence,2,95,3.95,17,9,48,84,Low,Pass
ST0186,Information Technology,3,93,3.3,18,10,48,77,Low,Pass
ST0187,Software Engineering,5,44,1.64,10,2,20,22,Medium,Fail
ST0188,Data Science,5,53,1.99,5,5,30,37,High,Fail
ST0189,Data Science,8,97,3.44,16,10,40,80,Low,Pass
ST0190,Software Engineering,7,71,2.6,12,7,35,68,Medium,Fail
ST0191,Software Engineering,8,56,1.94,10,3,27,23,High,Fail
ST0192,Artificial Intelligence,3,86,3.43,19,10,46,82,Low,Pass
ST0193,Data Science,5,63,1.75,7,5,28,34,High,Fail
ST0194,Computer Science,1,97,3.6,17,8,49,86,Low,Pass
ST0195,Artificial Intelligence,5,100,3.43,16,8,46,79,Low,Pass
ST0196,Data Science,2,51,1.54,5,3,25,37,High,Fail
ST0197,Information Technology,6,82,2.55,11,6,28,57,Medium,Pass
ST0198,Data Science,6,64,1.61,11,2,20,21,Medium,Fail
ST0199,Information Technology,5,69,2.84,12,7,35,50,Medium,Fail
ST0200,Data Science,2,81,2.77,14,8,25,56,Medium,Pass
ST0201,Information Technology,3,65,2.83,14,6,26,63,Medium,Fail
ST0202,Computer Science,4,84,2.99,16,6,32,46,Low,Pass
ST0203,Information Technology,3,78,2.43,13,8,40,72,Low,Fail
ST0204,Data Science,3,95,4.0,19,10,46,85,Low,Pass
ST0205,Software Engineering,5,50,1.93,9,5,23,27,High,Fail
ST0206,Artificial Intelligence,5,49,2.11,8,5,25,35,High,Fail
ST0207,Artificial Intelligence,1,97,3.92,19,9,42,84,Low,Pass
ST0208,Information Technology,5,42,1.77,12,4,27,26,Medium,Fail
ST0209,Computer Science,4,69,2.4,13,6,26,66,Low,Fail
ST0210,Data Science,3,95,3.77,16,10,42,75,Low,Pass
ST0211,Information Technology,2,80,2.72,13,7,35,54,Low,Pass
ST0212,Data Science,7,86,3.93,17,9,42,76,Low,Pass
ST0213,Artificial Intelligence,2,94,3.9,16,9,49,94,Low,Pass
ST0214,Computer Science,4,100,3.91,17,10,47,83,Low,Pass
ST0215,Software Engineering,4,79,2.88,12,5,35,70,Medium,Pass
ST0216,Software Engineering,3,77,3.04,15,5,37,66,Low,Pass
ST0217,Artificial Intelligence,6,72,2.31,16,6,39,69,Medium,Fail
ST0218,Artificial Intelligence,8,83,2.31,15,6,26,66,Low,Fail
ST0219,Software Engineering,4,94,3.75,18,9,49,82,Low,Pass
ST0220,Information Technology,4,79,2.97,15,8,40,69,Low,Pass
ST0221,Information Technology,4,42,1.92,10,2,29,23,Medium,Fail
ST0222,Information Technology,2,70,2.59,17,5,31,67,Medium,Fail
ST0223,Computer Science,5,66,2.7,16,8,26,62,Medium,Fail
ST0224,Computer Science,1,65,2.96,11,5,38,56,Low,Fail
ST0225,Data Science,6,55,1.53,11,3,22,44,High,Fail
ST0226,Software Engineering,3,77,2.63,12,7,28,50,Medium,Pass
ST0227,Software Engineering,7,64,1.52,9,5,30,43,High,Fail
ST0228,Information Technology,7,96,3.32,17,10,41,76,Low,Pass
ST0229,Software Engineering,1,40,1.69,6,2,29,21,High,Fail
ST0230,Information Technology,4,77,2.69,13,5,29,61,Medium,Pass
ST0231,Data Science,4,84,2.99,15,6,34,73,Low,Pass
ST0232,Information Technology,7,66,2.8,12,8,40,46,Medium,Fail
ST0233,Software Engineering,4,78,2.66,14,8,30,69,Medium,Pass
ST0234,Software Engineering,7,69,3.02,10,8,38,62,Low,Fail
ST0235,Computer Science,4,95,3.72,19,9,41,92,Low,Pass
ST0236,Data Science,4,86,3.9,17,10,50,92,Low,Pass
ST0237,Data Science,2,95,3.44,16,8,43,98,Low,Pass
ST0238,Data Science,5,62,1.98,8,5,23,37,High,Fail
ST0239,Software Engineering,6,76,2.57,15,8,39,48,Medium,Pass
ST0240,Software Engineering,5,78,2.34,13,6,25,53,Medium,Fail
ST0241,Artificial Intelligence,6,92,3.5,17,9,48,95,Low,Pass
ST0242,Software Engineering,3,55,2.26,12,5,22,43,High,Fail
ST0243,Data Science,1,80,2.46,10,5,27,71,Low,Fail
ST0244,Artificial Intelligence,8,92,3.25,17,8,43,91,Low,Pass
ST0245,Computer Science,7,100,3.73,16,8,48,92,Low,Pass
ST0246,Software Engineering,7,93,3.63,18,8,48,97,Low,Pass
ST0247,Artificial Intelligence,5,88,3.62,17,8,49,91,Low,Pass
ST0248,Artificial Intelligence,4,97,3.26,19,9,49,82,Low,Pass
ST0249,Computer Science,8,67,2.88,10,5,37,57,Medium,Fail
ST0250,Software Engineering,4,70,2.37,16,7,28,73,Low,Fail
ST0251,Software Engineering,1,62,2.2,12,4,20,22,High,Fail
ST0252,Information Technology,3,50,1.51,8,3,26,22,High,Fail
ST0253,Computer Science,3,97,3.74,20,9,46,99,Low,Pass
ST0254,Computer Science,6,76,2.35,16,6,27,55,Medium,Fail
ST0255,Information Technology,2,79,2.74,15,8,38,50,Medium,Pass
ST0256,Data Science,3,92,3.77,16,9,42,87,Low,Pass
ST0257,Software Engineering,2,68,2.38,14,8,36,69,Medium,Fail
ST0258,Computer Science,1,98,3.56,20,10,46,78,Low,Pass
ST0259,Computer Science,7,67,2.83,15,8,25,54,Medium,Fail
ST0260,Artificial Intelligence,5,82,3.11,13,6,37,50,Low,Pass
ST0261,Computer Science,8,89,3.25,19,9,46,84,Low,Pass
ST0262,Computer Science,5,72,2.94,17,6,39,48,Low,Fail
ST0263,Artificial Intelligence,3,50,2.16,11,4,27,30,High,Fail
ST0264,Artificial Intelligence,4,71,2.73,12,8,35,54,Medium,Fail
ST0265,Data Science,4,77,2.62,13,6,25,68,Medium,Pass
ST0266,Artificial Intelligence,4,62,1.55,11,5,22,40,High,Fail
ST0267,Information Technology,7,78,3.0,11,8,40,63,Medium,Pass
ST0268,Software Engineering,2,96,3.76,20,10,50,77,Low,Pass
ST0269,Computer Science,2,76,2.45,10,8,35,70,Medium,Fail
ST0270,Data Science,4,92,3.61,20,10,49,97,Low,Pass
ST0271,Data Science,5,79,2.99,12,7,25,60,Low,Pass
ST0272,Information Technology,4,42,1.59,7,4,24,30,High,Fail
ST0273,Computer Science,2,80,2.39,17,7,27,54,Low,Fail
ST0274,Information Technology,6,60,1.59,7,3,28,25,Medium,Fail
ST0275,Computer Science,7,79,2.51,16,6,30,65,Medium,Pass
ST0276,Artificial Intelligence,4,71,2.7,16,8,25,67,Low,Fail
ST0277,Artificial Intelligence,2,42,1.96,7,4,25,26,High,Fail
ST0278,Artificial Intelligence,6,80,2.77,15,8,37,63,Low,Pass
ST0279,Software Engineering,2,59,1.64,9,2,30,24,High,Fail
ST0280,Data Science,7,70,2.63,12,8,38,64,Low,Fail
ST0281,Data Science,6,90,3.64,19,9,42,80,Low,Pass
ST0282,Data Science,8,76,3.15,17,6,31,71,Medium,Pass
ST0283,Artificial Intelligence,4,78,2.93,17,8,30,47,Low,Pass
ST0284,Information Technology,8,92,3.63,17,9,49,98,Low,Pass
ST0285,Computer Science,7,83,2.4,15,5,39,62,Low,Fail
ST0286,Computer Science,8,72,2.56,10,8,33,56,Low,Fail
ST0287,Software Engineering,4,47,1.67,10,5,22,39,Medium,Fail
ST0288,Information Technology,5,58,1.78,9,3,25,42,High,Fail
ST0289,Software Engineering,3,88,3.31,19,8,44,95,Low,Pass
ST0290,Data Science,5,95,3.86,19,9,42,93,Low,Pass
ST0291,Data Science,8,67,2.86,11,8,33,67,Medium,Fail
ST0292,Software Engineering,7,65,3.07,11,8,36,72,Low,Fail
ST0293,Artificial Intelligence,8,46,1.89,10,4,25,37,Medium,Fail
ST0294,Data Science,8,64,1.54,6,5,20,23,Medium,Fail
ST0295,Computer Science,5,98,3.36,17,10,44,80,Low,Pass
ST0296,Data Science,4,73,2.37,12,5,37,65,Medium,Fail
ST0297,Computer Science,8,68,2.3,17,5,29,63,Low,Fail
ST0298,Software Engineering,2,95,3.85,19,10,42,90,Low,Pass
ST0299,Computer Science,3,68,2.39,15,7,29,57,Low,Fail
ST0300,Data Science,3,65,2.84,12,8,36,68,Low,Fail
ST0301,Artificial Intelligence,7,79,3.07,11,5,29,69,Low,Pass
ST0302,Computer Science,5,50,2.12,8,4,30,22,Medium,Fail
ST0303,Data Science,4,61,2.19,8,3,26,29,Medium,Fail
ST0304,Data Science,3,72,2.74,11,5,36,74,Medium,Fail
ST0305,Artificial Intelligence,1,58,1.83,7,5,21,20,Medium,Fail
ST0306,Data Science,7,86,3.96,19,10,44,95,Low,Pass
ST0307,Software Engineering,4,67,2.87,12,7,27,54,Low,Fail
ST0308,Software Engineering,1,77,2.82,11,7,38,68,Low,Pass
ST0309,Computer Science,3,98,3.29,20,10,40,84,Low,Pass
ST0310,Software Engineering,5,89,3.76,17,9,45,91,Low,Pass
ST0311,Information Technology,5,73,2.95,11,5,35,70,Medium,Fail
ST0312,Artificial Intelligence,3,87,3.6,20,9,40,90,Low,Pass
ST0313,Computer Science,1,88,3.92,16,8,48,75,Low,Pass
ST0314,Software Engineering,7,100,3.49,17,8,40,92,Low,Pass
ST0315,Information Technology,2,78,3.12,15,7,27,63,Medium,Pass
ST0316,Artificial Intelligence,5,66,2.46,10,8,27,73,Medium,Fail
ST0317,Data Science,4,82,2.71,15,6,34,63,Medium,Pass
ST0318,Software Engineering,1,80,3.19,13,6,29,45,Medium,Pass
ST0319,Data Science,4,65,3.15,10,8,34,48,Low,Fail
ST0320,Artificial Intelligence,7,66,3.17,12,7,27,46,Low,Fail
ST0321,Software Engineering,7,67,2.82,12,8,27,63,Low,Fail
ST0322,Artificial Intelligence,8,93,3.88,19,10,45,85,Low,Pass
ST0323,Data Science,3,91,3.31,20,8,42,78,Low,Pass
ST0324,Computer Science,5,78,2.41,15,6,39,54,Medium,Fail
ST0325,Computer Science,3,94,3.86,20,8,43,85,Low,Pass
ST0326,Data Science,1,76,2.65,10,7,33,71,Low,Pass
ST0327,Computer Science,2,57,2.09,8,2,27,23,Medium,Fail
ST0328,Information Technology,2,92,3.3,19,9,50,95,Low,Pass
ST0329,Artificial Intelligence,2,67,2.32,11,6,39,70,Low,Fail
ST0330,Data Science,1,99,3.24,20,9,46,90,Low,Pass
ST0331,Information Technology,1,70,2.62,12,7,33,59,Low,Fail
ST0332,Data Science,5,72,2.88,17,8,40,46,Low,Fail
ST0333,Data Science,1,91,3.71,20,8,50,100,Low,Pass
ST0334,Artificial Intelligence,7,51,1.88,12,4,29,36,High,Fail
ST0335,Information Technology,8,95,3.68,16,9,40,100,Low,Pass
ST0336,Information Technology,5,83,3.19,12,5,32,66,Low,Pass
ST0337,Information Technology,4,63,1.54,8,5,25,25,Medium,Fail
ST0338,Information Technology,8,76,3.11,10,7,29,63,Low,Pass
ST0339,Artificial Intelligence,1,80,2.33,10,6,32,45,Medium,Fail
ST0340,Information Technology,3,46,2.14,10,3,25,21,Medium,Fail
ST0341,Artificial Intelligence,2,69,2.99,15,5,36,67,Medium,Fail
ST0342,Information Technology,4,69,3.17,16,8,35,50,Medium,Fail
ST0343,Information Technology,7,52,1.74,9,3,22,43,Medium,Fail
ST0344,Data Science,2,95,3.94,20,8,50,93,Low,Pass
ST0345,Data Science,6,87,3.39,18,8,50,77,Low,Pass
ST0346,Computer Science,2,91,3.4,16,9,44,100,Low,Pass
ST0347,Information Technology,6,99,3.79,17,9,47,87,Low,Pass
ST0348,Computer Science,5,80,3.0,13,6,39,47,Low,Pass
ST0349,Artificial Intelligence,2,68,2.37,12,8,30,68,Low,Fail
ST0350,Computer Science,3,84,3.09,10,8,30,64,Medium,Pass
ST0351,Artificial Intelligence,5,91,3.98,19,10,48,98,Low,Pass
ST0352,Artificial Intelligence,1,88,3.24,20,10,47,79,Low,Pass
ST0353,Software Engineering,1,87,3.44,20,9,43,78,Low,Pass
ST0354,Data Science,7,94,3.98,19,8,44,100,Low,Pass
ST0355,Software Engineering,6,73,2.38,16,6,36,73,Medium,Fail
ST0356,Computer Science,3,73,2.69,14,6,33,63,Low,Fail
ST0357,Data Science,1,96,3.85,19,10,43,92,Low,Pass
ST0358,Computer Science,7,53,2.26,12,3,27,29,Medium,Fail
ST0359,Software Engineering,4,81,3.01,12,5,39,50,Low,Pass
ST0360,Artificial Intelligence,5,98,3.26,19,8,50,79,Low,Pass
ST0361,Information Technology,1,42,1.57,11,4,24,36,High,Fail
ST0362,Artificial Intelligence,2,78,2.4,12,6,28,74,Low,Fail
ST0363,Software Engineering,1,51,2.19,9,5,30,35,High,Fail
ST0364,Computer Science,4,89,3.69,19,8,46,85,Low,Pass
ST0365,Computer Science,8,73,3.1,10,7,34,54,Medium,Fail
ST0366,Software Engineering,2,47,1.61,12,4,24,43,High,Fail
ST0367,Software Engineering,7,78,2.96,15,5,30,47,Medium,Pass
ST0368,Computer Science,4,56,2.19,5,3,23,26,Medium,Fail
ST0369,Computer Science,2,76,2.93,14,7,39,61,Medium,Pass
ST0370,Artificial Intelligence,6,100,3.68,17,9,49,92,Low,Pass
ST0371,Software Engineering,1,93,3.8,16,9,40,87,Low,Pass
ST0372,Information Technology,7,64,2.26,8,3,30,26,High,Fail
ST0373,Software Engineering,1,85,3.58,17,10,42,94,Low,Pass
ST0374,Artificial Intelligence,8,94,3.77,18,9,46,86,Low,Pass
ST0375,Information Technology,1,94,3.74,20,9,49,78,Low,Pass
ST0376,Artificial Intelligence,2,51,1.94,9,4,30,23,High,Fail
ST0377,Software Engineering,4,60,1.76,9,4,30,42,High,Fail
ST0378,Artificial Intelligence,8,72,3.1,16,7,29,68,Low,Fail
ST0379,Software Engineering,6,98,3.52,16,10,49,81,Low,Pass
ST0380,Computer Science,5,80,3.11,15,7,30,71,Low,Pass
ST0381,Artificial Intelligence,4,73,2.95,12,7,27,52,Medium,Fail
ST0382,Data Science,2,75,2.63,14,8,28,60,Low,Pass
ST0383,Software Engineering,3,56,1.59,11,4,26,21,Medium,Fail
ST0384,Data Science,2,83,3.09,17,6,35,72,Low,Pass
ST0385,Information Technology,3,70,2.58,10,5,39,53,Low,Fail
ST0386,Data Science,7,55,2.12,6,3,29,33,High,Fail
ST0387,Computer Science,1,52,1.5,8,4,20,30,Medium,Fail
ST0388,Software Engineering,5,72,2.5,15,7,29,48,Medium,Fail
ST0389,Data Science,6,86,3.44,18,9,48,94,Low,Pass
ST0390,Software Engineering,1,44,1.77,12,4,23,25,High,Fail
ST0391,Artificial Intelligence,2,89,3.37,16,10,48,80,Low,Pass
ST0392,Computer Science,1,66,2.63,14,5,26,66,Low,Fail
ST0393,Computer Science,4,78,2.7,11,7,40,67,Low,Pass
ST0394,Artificial Intelligence,2,68,2.89,14,6,38,71,Low,Fail
ST0395,Artificial Intelligence,4,88,3.6,20,8,44,91,Low,Pass
ST0396,Computer Science,1,74,2.44,17,6,40,55,Low,Fail
ST0397,Artificial Intelligence,2,68,3.04,17,6,27,69,Low,Fail
