department,semester,students_enrolled,teacher_count,previous_demand,course_demand
Data Science,7,194,15,272,Medium
Computer Science,3,258,11,146,Medium
Information Technology,1,240,2,163,Medium
Computer Science,5,63,2,191,Low
Data Science,4,220,3,48,Medium
Computer Science,5,116,5,205,Medium
Software Engineering,8,195,4,220,Medium
Computer Science,2,109,5,92,Low
Information Technology,7,103,14,62,Low
Data Science,4,23,13,52,Low
Data Science,2,64,13,259,Low
Information Technology,6,279,2,30,Medium
Artificial Intelligence,6,263,4,89,Medium
Software Engineering,6,197,12,84,Low
Software Engineering,2,80,15,100,Low
Software Engineering,7,42,3,68,Low
Software Engineering,2,101,2,266,Medium
Software Engineering,4,160,15,32,Low
Software Engineering,4,60,11,158,Low
Artificial Intelligence,3,46,4,163,Low
Data Science,1,122,5,236,Medium
Data Science,6,81,14,242,Low
Information Technology,5,63,14,283,Low
Data Science,7,116,12,147,Low
Computer Science,3,164,7,286,Medium
Software Engineering,6,256,10,43,Low
Data Science,1,150,9,229,Medium
Software Engineering,1,96,6,213,Medium
Artificial Intelligence,5,51,10,217,Low
Computer Science,8,33,6,182,Low
Information Technology,7,225,2,284,High
Data Science,4,66,9,240,Low
Artificial Intelligence,1,109,8,75,Low
Artificial Intelligence,7,47,4,214,Low
Computer Science,5,127,10,233,Medium
Computer Science,3,278,14,81,Medium
Software Engineering,3,83,12,282,Low
Computer Science,3,117,7,136,Low
Computer Science,6,183,10,220,Medium
Information Technology,1,235,13,211,Medium
Information Technology,5,260,13,263,Medium
Information Technology,7,292,12,212,Medium
Software Engineering,4,53,12,225,Low
Information Technology,3,49,3,206,Low
Information Technology,8,83,3,161,Low
Computer Science,7,187,8,35,Low
Data Science,8,157,14,291,Medium
Computer Science,5,40,13,132,Low
Information Technology,2,26,10,80,Low
Data Science,3,275,12,258,High
Data Science,7,38,11,36,Low
Information Technology,1,102,2,237,Medium
Information Technology,1,246,7,225,Medium
Computer Science,6,118,8,63,Low
Computer Science,4,298,13,164,Medium
Data Science,1,151,6,107,Low
Artificial Intelligence,8,143,4,182,Medium
Software Engineering,7,282,13,187,Medium
Software Engineering,6,66,9,107,Low
Artificial Intelligence,2,296,8,70,Medium
Computer Science,3,82,5,89,Low
Data Science,4,266,5,182,High
Artificial Intelligence,6,168,15,67,Low
Information Technology,2,181,7,69,Low
Data Science,3,103,6,82,Low
Computer Science,6,166,8,158,Medium
Software Engineering,5,119,7,256,Medium
Artificial Intelligence,5,186,8,199,Medium
Information Technology,2,237,9,192,Medium
Information Technology,3,27,9,291,Low
Artificial Intelligence,4,214,14,142,Low
Data Science,8,282,13,55,Low
Data Science,8,88,10,69,Low
Computer Science,1,202,14,51,Low
Artificial Intelligence,8,27,4,215,Low
Software Engineering,1,54,9,44,Low
Software Engineering,4,213,9,205,Medium
Software Engineering,3,118,3,138,Low
Data Science,2,93,10,207,Low
Data Science,2,251,13,243,Medium
Information Technology,5,214,5,43,Low
Software Engineering,2,144,14,299,Medium
Data Science,3,219,6,227,Medium
Artificial Intelligence,3,151,3,141,Medium
Information Technology,6,211,7,35,Low
Software Engineering,5,152,12,204,Low
Artificial Intelligence,2,186,15,116,Low
Computer Science,8,102,4,31,Low
Computer Science,6,164,14,144,Low
Information Technology,6,247,4,265,High
Information Technology,6,243,12,296,Medium
Computer Science,2,268,15,299,Medium
Information Technology,7,66,4,282,Medium
Data Science,1,289,9,217,High
Software Engineering,6,288,8,122,Medium
Software Engineering,7,137,8,24,Low
Data Science,2,144,12,94,Low
Software Engineering,6,198,6,181,Medium
Data Science,4,33,5,290,Medium
Data Science,4,257,3,123,Medium
Computer Science,1,109,10,107,Low
Software Engineering,2,195,14,38,Low
Data Science,1,135,4,275,Medium
Computer Science,6,143,10,125,Low
Information Technology,7,135,12,290,Medium
Information Technology,7,267,13,217,Medium
Computer Science,3,85,8,204,Low
Information Technology,6,283,11,277,High
Artificial Intelligence,6,86,5,112,Low
Artificial Intelligence,5,185,3,139,Medium
Information Technology,5,165,14,229,Medium
Information Technology,8,151,11,39,Low
Computer Science,2,44,11,245,Low
Computer Science,8,221,9,248,Medium
Software Engineering,8,271,14,210,Medium
Data Science,6,181,3,288,High
Software Engineering,7,76,8,150,Low
Data Science,5,106,8,108,Low
Artificial Intelligence,3,294,5,205,High
Artificial Intelligence,4,176,4,219,Medium
Data Science,5,59,15,263,Low
Artificial Intelligence,7,183,3,289,High
Data Science,6,232,14,163,Medium
Information Technology,2,225,7,284,High
Computer Science,3,208,2,83,Medium
Artificial Intelligence,3,276,10,290,High
Software Engineering,7,143,15,179,Low
Artificial Intelligence,1,221,7,271,High
Artificial Intelligence,2,68,3,207,Medium
Software Engineering,6,163,6,264,Medium
Artificial Intelligence,4,92,11,181,Low
Software Engineering,2,150,12,282,Medium
Software Engineering,2,240,13,289,Medium
Data Science,1,259,11,172,Medium
Data Science,3,192,9,168,Medium
Computer Science,4,45,10,108,Low
Information Technology,5,138,7,279,Medium
Information Technology,7,30,7,191,Low
Computer Science,5,208,13,45,Low
Information Technology,6,85,10,67,Low
Computer Science,5,137,2,272,Medium
Artificial Intelligence,4,297,12,142,Medium
Artificial Intelligence,2,249,11,23,Low
Data Science,3,151,9,275,Medium
Information Technology,6,46,15,124,Low
Data Science,1,218,3,146,Medium
Information Technology,5,126,5,25,Low
Information Technology,7,66,4,38,Low
Information Technology,4,51,11,79,Low
Computer Science,8,24,2,292,Medium
Information Technology,2,221,7,171,Medium
Computer Science,4,248,11,156,Medium
Artificial Intelligence,8,267,2,202,High
Software Engineering,2,183,8,57,Low
Artificial Intelligence,2,263,10,175,Medium
Information Technology,7,250,7,169,Medium
Information Technology,1,161,10,26,Low
Information Technology,6,271,10,192,Medium
Computer Science,5,184,12,107,Low
Artificial Intelligence,3,187,7,206,Medium
Computer Science,6,85,5,86,Low
Data Science,6,32,8,134,Low
Computer Science,1,212,8,161,Medium
Artificial Intelligence,5,94,14,253,Low
Computer Science,2,46,9,110,Low
Artificial Intelligence,7,250,15,293,Medium
Artificial Intelligence,3,171,11,223,Medium
Information Technology,5,125,12,86,Low
Information Technology,1,262,11,140,Medium
Artificial Intelligence,4,178,15,74,Low
Data Science,8,223,9,208,Medium
Software Engineering,5,213,7,226,Medium
Computer Science,7,44,9,60,Low
Information Technology,6,238,9,49,Low
Data Science,4,236,14,37,Low
Data Science,2,298,13,66,Medium
Artificial Intelligence,6,90,4,48,Low
Data Science,8,101,10,107,Low
Data Science,1,154,5,286,Medium
Artificial Intelligence,7,96,5,235,Medium
Data Science,2,173,7,27,Low
Software Engineering,7,243,4,299,High
Artificial Intelligence,4,300,12,156,Medium
Information Technology,8,165,9,119,Low
Computer Science,5,144,14,247,Medium
Artificial Intelligence,5,82,14,231,Low
Information Technology,8,65,13,253,Low
Data Science,5,284,3,195,High
Artificial Intelligence,3,292,12,112,Medium
Artificial Intelligence,5,259,9,236,Medium
Information Technology,5,122,9,199,Low
Computer Science,1,267,2,126,Medium
Software Engineering,8,240,8,33,Low
Software Engineering,8,231,10,223,Medium
Data Science,1,245,14,246,Medium
Data Science,5,127,10,280,Medium
Data Science,3,144,7,156,Low
Information Technology,8,140,5,265,Medium
Software Engineering,8,193,10,62,Low
Artificial Intelligence,6,135,3,175,Medium
Computer Science,3,295,4,213,High
Information Technology,3,155,7,260,Medium
Artificial Intelligence,5,93,5,174,Low
Computer Science,7,142,8,269,Medium
Computer Science,6,125,5,267,Medium
Artificial Intelligence,8,244,3,284,High
Software Engineering,6,241,3,190,High
Software Engineering,8,188,4,287,High
Data Science,5,127,8,20,Low
Computer Science,5,132,9,142,Low
Data Science,6,66,11,297,Low
Software Engineering,5,113,15,24,Low
Artificial Intelligence,3,141,15,20,Low
Software Engineering,2,208,9,194,Medium
Software Engineering,5,145,10,149,Low
Software Engineering,1,292,2,256,High
Information Technology,4,94,10,174,Low
Artificial Intelligence,1,235,10,127,Medium
Software Engineering,8,256,4,109,Medium
Artificial Intelligence,2,87,5,99,Low
Artificial Intelligence,8,52,9,222,Low
Information Technology,2,71,7,59,Low
Artificial Intelligence,1,70,4,188,Low
Software Engineering,6,59,5,187,Low
Information Technology,1,21,5,257,Low
Information Technology,2,263,7,103,Medium
Artificial Intelligence,6,134,12,164,Low
Data Science,3,101,12,175,Low
Computer Science,6,111,5,71,Low
Software Engineering,5,273,13,226,Medium
Data Science,7,83,8,51,Low
Artificial Intelligence,7,209,6,243,Medium
Software Engineering,4,62,12,174,Low
Software Engineering,1,180,10,113,Low
Software Engineering,2,91,8,135,Low
Artificial Intelligence,6,195,4,157,Medium
Computer Science,5,256,15,67,Low
Artificial Intelligence,6,167,6,74,Low
Computer Science,2,298,15,239,Medium
Data Science,6,50,8,156,Low
Software Engineering,7,277,9,144,Medium
Computer Science,1,69,7,92,Low
Information Technology,5,50,3,197,Low
Software Engineering,6,276,5,280,High
Software Engineering,3,271,9,157,Medium
Software Engineering,2,37,2,81,Low
Computer Science,2,140,14,236,Low
Software Engineering,1,87,4,54,Low
Software Engineering,5,56,15,203,Low
Artificial Intelligence,3,74,15,65,Low
Information Technology,3,187,13,163,Low
Data Science,2,162,4,172,Medium
Computer Science,2,162,5,163,Medium
Computer Science,6,181,15,217,Medium
Information Technology,7,216,2,222,High
Information Technology,1,130,10,164,Low
Software Engineering,7,225,10,50,Low
Computer Science,3,177,4,198,Medium
Information Technology,3,232,2,178,Medium
Artificial Intelligence,6,284,12,25,Low
Data Science,2,25,13,209,Low
Information Technology,6,65,13,48,Low
Computer Science,1,219,15,296,Medium
Data Science,1,271,15,256,Medium
Artificial Intelligence,5,121,13,195,Low
Computer Science,2,119,11,177,Low
Artificial Intelligence,6,145,12,243,Medium
Computer Science,1,285,10,136,Medium
Information Technology,5,115,9,288,Medium
Computer Science,8,199,2,221,Medium
Software Engineering,7,193,3,285,High
Artificial Intelligence,1,144,11,62,Low
Data Science,7,290,7,36,Medium
Data Science,6,44,9,233,Low
Software Engineering,1,66,14,193,Low
Software Engineering,5,135,4,238,Medium
Computer Science,7,214,15,96,Low
Software Engineering,1,192,12,267,Medium
Software Engineering,1,71,4,48,Low
Data Science,5,112,4,147,Low
Computer Science,6,89,5,64,Low
Computer Science,3,96,3,220,Medium
Software Engineering,2,150,2,135,Medium
Computer Science,3,235,14,63,Low
Software Engineering,1,114,2,113,Low
Computer Science,1,120,15,43,Low
Artificial Intelligence,3,262,15,147,Medium
Artificial Intelligence,1,127,15,39,Low
Computer Science,6,159,11,156,Low
Information Technology,3,150,11,104,Low
Software Engineering,3,254,5,287,High
Information Technology,6,232,3,58,Medium
Software Engineering,1,257,4,103,Medium
Information Technology,3,144,7,178,Medium
Information Technology,7,244,2,130,Medium
Software Engineering,5,210,6,275,High
Artificial Intelligence,8,288,8,240,High
Artificial Intelligence,8,282,10,255,High
Artificial Intelligence,7,106,12,162,Low
Data Science,4,39,8,293,Low
Data Science,4,93,10,37,Low
Information Technology,8,168,3,205,Medium
Information Technology,6,39,3,59,Low
Information Technology,3,194,10,43,Low
Information Technology,1,107,9,182,Low
Artificial Intelligence,6,237,8,237,Medium
Data Science,2,183,15,25,Low
Information Technology,7,108,4,75,Low
Data Science,8,291,9,280,High
Software Engineering,1,79,15,49,Low
Computer Science,6,148,12,180,Low
Computer Science,7,228,4,86,Medium
Computer Science,4,189,9,172,Medium
Data Science,8,147,6,39,Low
Data Science,6,228,6,40,Medium
Software Engineering,7,298,3,145,High
Computer Science,2,57,7,115,Low
Data Science,2,251,3,134,Medium
Artificial Intelligence,8,190,4,269,High
Information Technology,5,215,14,30,Low
Information Technology,6,126,8,81,Low
Computer Science,3,242,11,154,Medium
Data Science,3,283,13,258,Medium
Data Science,7,234,3,184,Medium
Information Technology,5,205,10,82,Low
Computer Science,8,151,9,274,Medium
Information Technology,5,190,2,214,Medium
Information Technology,5,186,11,28,Low
Information Technology,2,69,3,35,Low
Information Technology,7,193,14,84,Low
Data Science,3,178,13,37,Low
Data Science,3,59,11,117,Low
Software Engineering,3,170,4,118,Medium
Information Technology,7,212,4,222,Medium
Data Science,2,188,13,268,Medium
Software Engineering,6,212,12,168,Medium
Software Engineering,2,215,3,297,High
Artificial Intelligence,2,283,5,116,Medium
Information Technology,1,160,7,162,Medium
Software Engineering,8,195,6,82,Medium
Information Technology,5,167,7,249,Medium
Artificial Intelligence,2,197,13,134,Low
Artificial Intelligence,6,93,12,103,Low
Information Technology,8,23,8,99,Low
Information Technology,8,135,5,31,Low
Information Technology,7,237,5,79,Medium
Software Engineering,1,208,12,83,Low
Information Technology,5,261,14,141,Medium
Software Engineering,1,193,10,247,Medium
Computer Science,4,233,15,106,Low
Artificial Intelligence,5,77,13,273,Low
Artificial Intelligence,6,300,8,144,Medium
Computer Science,8,252,3,242,High
Information Technology,1,125,12,194,Low
Artificial Intelligence,8,273,2,256,High
Information Technology,5,220,9,196,Medium
Software Engineering,5,81,4,238,Medium
Data Science,8,29,6,108,Low
Computer Science,4,248,9,84,Medium
Data Science,5,83,5,268,Medium
Software Engineering,2,62,15,249,Low
Artificial Intelligence,4,88,13,222,Low
Artificial Intelligence,2,81,13,252,Low
Artificial Intelligence,8,245,14,202,Medium
Data Science,2,181,6,169,Medium
Computer Science,6,23,12,206,Low
Information Technology,7,48,6,137,Low
Software Engineering,6,114,7,100,Low
Artificial Intelligence,3,298,8,183,High
Artificial Intelligence,6,196,8,176,Medium
Artificial Intelligence,6,265,10,81,Medium
Artificial Intelligence,6,170,15,167,Low
Software Engineering,2,104,7,186,Low
Information Technology,8,137,9,28,Low
Computer Science,3,127,10,235,Medium
Data Science,5,61,3,96,Low
Artificial Intelligence,1,138,13,235,Low
Computer Science,3,197,4,253,Medium
Computer Science,8,140,6,274,Medium
Artificial Intelligence,5,115,13,47,Low
Artificial Intelligence,4,144,13,288,Medium
Information Technology,2,233,9,149,Medium
Data Science,2,226,10,121,Medium
Information Technology,7,228,11,113,Medium
Information Technology,5,294,11,163,Medium
Information Technology,7,132,3,171,Medium
Artificial Intelligence,5,258,11,211,Medium
Computer Science,5,281,9,95,Medium
Data Science,7,99,7,95,Low
Information Technology,7,71,2,47,Low
Information Technology,8,167,4,97,Medium
Artificial Intelligence,5,49,7,40,Low
Data Science,8,134,7,291,Medium
Information Technology,2,218,14,113,Low
Software Engineering,8,201,3,73,Medium
Software Engineering,1,300,4,239,High
Artificial Intelligence,3,193,12,257,Medium
Data Science,4,279,6,36,Medium
Information Technology,2,27,8,259,Low
Software Engineering,5,54,14,70,Low
Computer Science,5,253,9,206,Medium
Artificial Intelligence,7,158,4,99,Low
Software Engineering,6,82,4,231,Medium
Software Engineering,5,142,11,124,Low
Artificial Intelligence,7,133,6,157,Low
Software Engineering,2,192,11,71,Low
Computer Science,6,63,7,183,Low
Computer Science,1,218,8,143,Medium
Data Science,3,73,3,49,Low
Software Engineering,1,143,7,296,Medium
Information Technology,3,280,3,201,High
Artificial Intelligence,4,127,7,108,Low
Software Engineering,2,228,2,190,High
Information Technology,4,122,8,249,Medium
Artificial Intelligence,7,28,14,233,Low
Computer Science,6,227,9,249,Medium
Software Engineering,7,192,14,165,Low
Software Engineering,7,69,11,296,Low
Artificial Intelligence,8,158,10,95,Low
Software Engineering,1,55,14,294,Low
Artificial Intelligence,1,191,3,102,Medium
Data Science,2,126,13,279,Medium
Artificial Intelligence,4,59,14,268,Low
Information Technology,4,188,4,178,Medium
Data Science,4,58,8,88,Low
Information Technology,1,105,4,45,Low
Artificial Intelligence,1,264,3,40,Medium
Information Technology,4,69,3,163,Low
Data Science,6,246,3,63,Medium
Computer Science,2,235,11,125,Medium
Computer Science,7,230,13,253,Medium
Software Engineering,1,79,8,294,Medium
Data Science,3,224,3,165,Medium
Information Technology,2,31,5,257,Low
Information Technology,6,120,9,134,Low
Computer Science,3,184,11,80,Low
Data Science,4,187,4,112,Medium
Information Technology,1,121,7,134,Low
Artificial Intelligence,5,199,3,134,Medium
Software Engineering,5,144,11,205,Low
Information Technology,3,294,7,121,Medium
Artificial Intelligence,2,215,15,160,Low
Artificial Intelligence,3,87,2,201,Medium
Software Engineering,7,92,5,238,Medium
Computer Science,5,55,11,183,Low
Information Technology,7,257,2,89,Medium
Software Engineering,1,100,12,289,Medium
Computer Science,7,265,7,237,High
Information Technology,7,152,14,216,Low
Information Technology,8,158,11,107,Low
Artificial Intelligence,3,79,12,183,Low
Software Engineering,4,259,3,119,Medium
Software Engineering,1,150,9,247,Medium
Artificial Intelligence,7,255,15,74,Low
Software Engineering,7,75,11,204,Low
Information Technology,2,131,8,148,Low
Computer Science,7,169,4,176,Medium
Data Science,1,44,13,94,Low
Data Science,4,253,10,147,Medium
Information Technology,3,163,11,102,Low
Software Engineering,6,141,6,56,Low
Artificial Intelligence,8,154,7,284,Medium
Software Engineering,5,215,2,24,Medium
Software Engineering,6,225,4,271,High
Data Science,5,201,11,269,Medium
Artificial Intelligence,8,257,7,153,Medium
Data Science,1,160,12,35,Low
Software Engineering,2,258,15,204,Medium
Software Engineering,1,28,11,78,Low
Information Technology,1,107,11,218,Low
Data Science,4,46,9,175,Low
Data Science,3,253,14,32,Low
Information Technology,7,111,14,86,Low
Software Engineering,5,79,4,185,Low
Software Engineering,4,177,15,128,Low
Data Science,4,205,15,190,Medium
Computer Science,4,299,7,75,Medium
Information Technology,6,137,11,225,Medium
Artificial Intelligence,8,183,15,282,Medium
Computer Science,6,238,11,114,Medium
Data Science,2,197,11,140,Low
Data Science,8,149,3,174,Medium
Computer Science,8,97,9,287,Medium
Information Technology,1,283,2,68,Medium
Computer Science,3,71,9,187,Low
Software Engineering,4,75,12,65,Low
Data Science,4,23,10,219,Low
Computer Science,6,288,3,204,High
Computer Science,4,120,5,152,Low
Information Technology,7,97,11,99,Low
Artificial Intelligence,2,192,2,107,Medium
Artificial Intelligence,4,132,6,237,Medium
Data Science,7,209,5,39,Low
Software Engineering,5,241,6,65,Medium
Software Engineering,8,248,10,137,Medium
Artificial Intelligence,6,147,10,293,Medium
Artificial Intelligence,7,127,5,44,Low
Data Science,6,63,11,283,Low
Artificial Intelligence,4,29,9,106,Low
Information Technology,5,209,13,116,Low
Computer Science,1,100,14,160,Low
Software Engineering,5,269,11,174,Medium
Data Science,8,152,10,101,Low
Artificial Intelligence,2,64,10,183,Low
Artificial Intelligence,3,282,9,178,Medium
Software Engineering,8,166,3,185,Medium
Artificial Intelligence,3,209,13,46,Low
Data Science,1,219,8,85,Medium
Information Technology,6,154,15,275,Medium
Data Science,2,214,6,132,Medium
Information Technology,8,153,3,204,Medium
Artificial Intelligence,1,152,15,67,Low
Computer Science,5,181,15,281,Medium
Computer Science,7,119,7,154,Low
Software Engineering,1,293,10,216,High
Information Technology,8,210,15,66,Low
Computer Science,4,192,5,281,High
Artificial Intelligence,6,268,3,287,High
Computer Science,3,296,9,208,High
Information Technology,2,136,12,50,Low
Data Science,7,74,12,232,Low
Data Science,6,292,13,278,High
Artificial Intelligence,4,163,8,208,Medium
Data Science,1,185,13,207,Medium
Computer Science,6,71,7,84,Low
Data Science,2,155,4,191,Medium
Data Science,3,139,11,157,Low
Artificial Intelligence,1,255,15,119,Medium
Artificial Intelligence,3,137,14,223,Low
Data Science,1,154,15,23,Low
Software Engineering,8,32,14,46,Low
Data Science,1,194,3,296,High
Software Engineering,7,255,13,276,Medium
Data Science,7,38,2,276,Medium
Computer Science,3,80,14,141,Low
Data Science,2,28,7,62,Low
Information Technology,7,104,5,147,Low
Artificial Intelligence,3,90,12,52,Low
Computer Science,3,210,8,264,Medium
Information Technology,3,281,15,72,Low
Artificial Intelligence,1,135,13,63,Low
Data Science,4,293,7,291,High
Data Science,1,39,9,263,Low
Computer Science,6,138,14,212,Low
Artificial Intelligence,8,180,15,284,Medium
Computer Science,6,116,2,230,Medium
Computer Science,7,250,3,178,High
Software Engineering,2,128,13,286,Medium
Information Technology,7,207,5,225,Medium
Computer Science,3,148,8,53,Low
Data Science,1,45,7,70,Low
Artificial Intelligence,4,36,8,273,Low
Computer Science,5,161,6,96,Low
Information Technology,8,234,9,113,Medium
Data Science,3,139,4,265,Medium
Information Technology,7,230,8,98,Medium
Computer Science,2,177,5,71,Low
Software Engineering,7,117,2,129,Medium
Software Engineering,3,67,2,287,Medium
Artificial Intelligence,8,170,7,278,Medium
Software Engineering,2,254,6,173,Medium
Data Science,6,295,10,129,Medium
Information Technology,5,129,9,31,Low
Information Technology,6,270,12,208,Medium
Computer Science,5,222,2,273,High
Data Science,2,276,5,79,Medium
Computer Science,3,136,7,82,Low
Computer Science,8,79,3,227,Medium
Software Engineering,2,282,9,190,Medium
Software Engineering,3,202,3,148,Medium
Software Engineering,2,97,12,176,Low
Information Technology,3,225,13,288,Medium
Data Science,6,124,14,150,Low
Computer Science,3,190,6,148,Medium
Computer Science,4,97,2,21,Low
Artificial Intelligence,3,136,2,271,Medium
Computer Science,1,73,4,187,Low
Artificial Intelligence,4,26,14,73,Low
Artificial Intelligence,8,134,6,249,Medium
Information Technology,5,167,7,135,Medium
Software Engineering,7,93,9,292,Medium
Computer Science,8,268,8,138,Medium
Computer Science,2,62,15,245,Low
Data Science,1,169,11,88,Low
Artificial Intelligence,1,246,8,158,Medium
Software Engineering,6,288,2,83,Medium
Computer Science,6,166,11,224,Medium
Artificial Intelligence,6,136,9,101,Low
Information Technology,5,87,6,198,Low
Information Technology,5,186,2,226,Medium
Artificial Intelligence,8,244,7,31,Low
Software Engineering,1,188,4,37,Low
Information Technology,5,212,2,58,Medium
Information Technology,1,294,6,48,Medium
Information Technology,1,135,10,124,Low
Data Science,2,30,15,53,Low
Information Technology,5,114,11,225,Low
Data Science,1,221,8,167,Medium
Computer Science,2,39,13,185,Low
Data Science,6,187,5,168,Medium
Information Technology,6,252,11,256,Medium
Information Technology,1,140,13,84,Low
Data Science,4,113,3,73,Low
Computer Science,7,271,6,266,High
Information Technology,1,181,12,79,Low
Artificial Intelligence,2,241,14,185,Medium
Information Technology,5,125,4,39,Low
Software Engineering,2,87,6,229,Medium
Computer Science,8,60,14,166,Low
Artificial Intelligence,4,26,10,142,Low
Information Technology,5,169,4,262,Medium
Software Engineering,1,60,6,179,Low
Information Technology,7,300,13,102,Medium
Artificial Intelligence,8,229,4,233,High
Artificial Intelligence,7,145,3,191,Medium
Software Engineering,8,29,12,149,Low
Data Science,8,295,6,49,Medium
Software Engineering,4,178,7,218,Medium
Data Science,6,236,7,278,High
Computer Science,3,157,5,40,Low
Artificial Intelligence,7,180,13,42,Low
Artificial Intelligence,4,135,15,105,Low
Information Technology,1,64,4,252,Medium
Information Technology,4,184,7,83,Low
Data Science,3,161,7,141,Medium
Information Technology,2,124,11,170,Low
Software Engineering,6,248,5,130,Medium
Artificial Intelligence,3,60,13,292,Low
Software Engineering,5,250,11,141,Medium
Data Science,6,33,5,141,Low
Information Technology,4,139,9,122,Low
Data Science,8,81,12,163,Low
Artificial Intelligence,2,119,4,110,Low
Artificial Intelligence,3,169,10,138,Low
Data Science,4,72,5,90,Low
Computer Science,4,31,7,201,Low
Data Science,2,258,2,24,Medium
Software Engineering,3,289,7,212,High
Artificial Intelligence,4,127,5,230,Medium
Artificial Intelligence,8,46,15,270,Low
